x,c01
0.0005,2.9985
0.3422,3.1677
0.385,9.9917
0.47082,24.914
0.54287,32.1895
0.66456,37.3687
0.85674,40.453
1.09034,42.0402
1.52384,43.0392
1.80207,37.4326
1.99757,35.4196
2.23067,34.0085
2.51377,32.6001
2.8843,30.8218
3.09247,29.859
3.21774,31.4403
3.37212,32.7233
3.55144,33.633
3.70153,34.1662
3.87658,34.4759
4.10161,34.6384
4.18911,34.6433

x,c02
0.0005,2.9985
0.3422,3.1677
0.38499,9.9167
0.47082,24.914
0.54287,32.1895
0.66041,37.4434
0.84424,40.4523
1.09035,42.1152
1.51969,43.114
1.68503,35.1772
1.77622,32.3338
1.92583,30.0183
2.0714,28.3774
2.22534,27.0367
2.34191,26.4435
2.42154,29.2216
2.5219,31.4012
2.63875,32.5322
2.83478,33.6677
3.02238,34.2779
3.25997,34.816
3.51838,35.2802
3.75591,35.4436
4.00592,35.5325
4.1851,35.6176

x,c03
-0.00782,3.073
0.3422,3.1677
0.38083,9.9915
0.46665,24.9138
0.5387,32.1892
0.65624,37.4432
0.84006,40.377
1.08202,42.1148
1.5197,43.1889
1.62628,32.7001
1.67563,28.8049
1.74182,25.96
1.82477,23.6408
1.92863,21.7726
2.02944,26.6508
2.08828,29.6526
2.23865,31.9099
2.42638,33.2698
2.64316,33.9567
2.98076,34.5754
3.43505,35.2756
4.1851,35.6176

x,c04
-0.00783,2.9981
0.34218,3.0927
0.38082,9.9165
0.46666,24.9888
0.54287,32.1895
0.66042,37.5184
0.84841,40.4525
1.07368,42.0394
1.51971,43.2639
1.60913,29.7757
1.62941,26.4784
1.66225,23.4818
1.71191,21.4606
1.76988,19.29
1.82869,22.1418
1.87089,25.3675
1.93391,28.4446
2.02179,30.7734
2.14704,32.2796
2.30136,33.1878
2.48482,33.9478
2.65989,34.3325
2.83912,34.7173
3.04751,35.0289
3.27255,35.3414
3.56425,35.5077
3.87678,35.6753
4.18931,35.8427

x,c05
-0.01199,3.0728
0.3422,3.1677
0.38082,9.9165
0.46666,24.9888
0.53453,32.189
0.65626,37.5182
0.84007,40.452
1.06952,42.1141
1.51969,43.114
1.6084,25.4278
1.63681,20.8566
1.65289,17.3344
1.69015,15.9121
1.71573,19.3618
1.77857,21.3893
1.81683,25.9642
1.87557,28.4413
1.95506,30.3947
2.03444,31.6736
2.18044,32.6563
2.34727,33.6403
2.53905,34.3257
2.74329,34.7869
2.9725,35.0247
3.28507,35.4171
3.51009,35.5796
3.72261,35.6666
4.06429,35.7607
4.18931,35.8427

x,c06
-0.00816,1.0491
0.29599,0.9162
0.36799,7.9667
0.44472,18.3159
0.54992,24.5437
0.73395,28.677
1.01345,30.7167
1.26772,31.3307
1.51781,31.8694
1.72698,36.9037
1.81055,38.3327
1.99831,39.8425
2.6656,43.6281
3.1702,46.2052
3.24083,45.0098
3.33653,44.1906
3.51973,43.3763
3.71546,42.7876
3.99039,42.3533
4.1987,42.2151

x,c07
-0.01231,1.1238
0.29183,0.991
0.36799,7.9667
0.44055,18.3156
0.54576,24.5434
0.72145,28.6763
1.00929,30.7164
1.26358,31.4803
1.51367,32.0191
1.65629,37.7243
1.69396,38.7759
1.79419,40.1309
2.362,46.9844
2.38681,45.8613
2.42833,44.9641
2.4907,44.218
2.5781,43.6232
2.70717,43.0308
2.8946,42.5915
3.11537,42.2291
3.35284,42.0176
3.64445,41.7341
3.88609,41.5228
4.18606,41.3898

x,c08
-0.00818,0.8991
0.29184,1.0659
0.35967,8.0412
0.43637,18.2404
0.54576,24.5434
0.72143,28.6013
1.00095,30.716
1.25107,31.4047
1.5095,32.0189
1.60211,37.6463
1.63991,39.4475
1.69017,41.0246
1.96617,47.0371
1.99499,44.9397
2.02394,43.667
2.07796,42.7705
2.17787,42.2514
2.30284,42.0335
2.44862,41.7419
2.64442,41.528
2.95686,41.1707
3.34014,40.8175
3.69841,40.4628
4.20671,40.2665

x,c09
-0.01235,0.8989
0.29184,1.0659
0.35966,7.9663
0.43639,18.3154
0.5416,24.6182
0.72143,28.6013
1.00095,30.716
1.25941,31.4801
1.50534,32.0187
1.58978,38.6951
1.63194,41.621
1.6613,42.822
1.80788,47.2531
1.83665,44.9308
1.86555,43.2833
1.90705,42.3111
1.98194,41.6407
2.09439,41.3471
2.30684,41.0592
2.58182,40.9248
2.96512,40.7214
3.47341,40.4501
4.19004,40.2656

x,c10
-0.01234,0.9739
0.28767,0.9907
0.35549,7.966
0.43637,18.2404
0.54159,24.5432
0.71727,28.6011
0.9968,30.7907
1.25107,31.4047
1.50535,32.0936
1.57768,41.0932
1.62392,43.4946
1.65349,45.97
1.69121,47.2465
1.70757,45.4483
1.73216,42.9759
1.75691,41.4781
1.81093,40.5816
1.89001,40.0613
2.25663,39.782
3.30242,39.541
4.20239,39.3667
