Time (s),F43 (N),L43 (mm),F44 (N),L44 (mm),F45 (N),L45 (mm),F47 (N),L47 (mm),F49 (N),L49 (mm),F50 (N),L50 (mm)
0,0.447,0.0123,7.527,9.0358,3.254,6.1137,1.179,3.02,0.545,-0.0002,0.471,-0.0736
0.01,0.5828,0.0546,7.6827,9.1242,3.1568,6.032,1.2556,3.0626,0.52,0.0149,0.7066,0.0123
0.02,0.3693,0.0143,7.8243,9.1147,3.2019,6.0649,1.204,2.9954,0.536,-0.0101,0.6103,0.041
0.03,0.5606,0.0314,7.844,9.1023,3.0569,6.0172,1.2463,3.0326,0.3961,-0.0388,0.7551,0.0292
0.04,0.5636,-0.0016,7.6243,9.024,3.1406,6.0552,1.1334,3.043,0.4484,0.0244,0.6215,-0.0002
0.05,0.471,-0.045,7.6587,9.0777,3.3031,6.1016,1.1853,3.0083,0.4379,0.0177,0.618,0.0604
0.06,0.5336,0.0101,7.619,9.0678,3.1742,6.0419,1.2296,3.0939,0.496,0.024,0.5807,-0.031
0.07,0.4878,0.0109,7.508,9.121,3.181,6.099,1.155,3.0216,0.6271,0.0472,0.4807,-0.0595
0.08,0.4105,0.0367,7.7564,9.1165,3.2663,6.0765,1.228,3.0637,0.496,-0.018,0.667,0.0137
0.09,0.5531,0.1023,7.6481,9.0848,3.0822,5.9818,1.2463,2.9943,0.5422,-0.0002,0.515,-0.0053
0.1,0.618,-0.0089,7.722,9.1536,3.2342,6.0869,1.1132,2.9907,0.52,-0.0326,0.6486,0.0353
0.11,0.4146,0.0123,7.7979,9.0763,3.1006,6.0323,1.2114,3.075,0.3915,-0.027,0.7813,0.0407
0.12,0.6234,0.0251,7.5656,9.0186,3.0555,6.0632,1.245,2.9964,0.548,0.0092,0.6727,-0.0276
0.13,0.4501,-0.0792,7.6637,9.0584,3.1982,6.0995,1.214,3.0403,0.4705,-0.0065,0.583,0.0244
0.14,0.569,0.0121,7.6473,9.0479,3.1612,6.004,1.2379,3.1294,0.4981,0.0318,0.5913,-0.0383
0.15,0.5069,0.0189,7.6354,9.0749,3.2489,6.09,1.1915,3.0298,0.5705,0.0567,0.4526,-0.0369
0.16,0.5184,0.017,7.6356,9.1166,3.1864,6.0376,1.179,3.036,0.4616,-0.048,0.6656,0.0244
0.17,0.7399,0.0611,7.625,9.1044,3.0837,6.0401,1.2824,2.9976,0.4517,0.0268,0.5469,0.0008
