Time (s),F51 (N),L51 (mm),F52 (N),L52 (mm),F53 (N),L53 (mm),F55 (N),L55 (mm),F57 (N),L57 (mm),F58 (N),L58 (mm)
0,0.422,9.0726,7.136,9.0726,2.791,6.077,1.179,2.9954,0.374,-0.049,0.203,-0.0002
0.01,0.4713,9.0724,7.258,9.0479,2.8938,6.0154,1.0996,2.9986,0.5543,0.0554,0.3213,-0.0087
0.02,0.52,9.0375,7.2835,9.0198,2.9708,6.0569,1.1551,3.0694,0.4128,-0.0748,0.4004,0.0529
0.03,0.5878,9.0473,7.112,9.0826,2.9242,5.9607,1.2402,3.1156,0.4345,0.0307,0.3835,0.0151
0.04,0.5881,9.0706,7.1561,9.0605,2.839,6.0273,1.1958,2.9625,0.4237,-0.0045,0.313,0.0141
0.05,0.7292,9.1672,7.282,9.02,3.0784,6.1064,1.1452,3.0863,0.4493,0.0256,0.5637,0.0464
0.06,0.4243,9.0141,7.1166,9.1147,2.9124,6.0523,1.0836,2.962,0.4548,0.0655,0.4243,-0.0192
0.07,0.471,9.0752,7.1889,9.1072,3.0564,6.0518,1.1529,3.0504,0.4588,-0.0249,0.3689,-0.0002
0.08,0.4206,9.0605,7.0953,9.0474,2.9718,6.028,1.301,3.0958,0.4327,-0.0159,0.3899,-0.0165
0.09,0.4437,9.0463,7.1626,9.1217,2.6962,6.0074,1.1707,3.0121,0.3755,-0.0203,0.3617,0.0099
0.1,0.6402,9.12,7.2652,9.0733,2.9943,6.0451,1.1232,3.0499,0.3145,0.0008,0.3452,0.0812
0.11,0.4298,9.0736,6.9605,9.0864,2.8997,6.0263,1.0436,2.9913,0.6192,0.083,0.398,-0.0123
0.12,0.471,9.0694,7.2298,9.0667,2.9801,6.1066,1.0708,3.0522,0.4179,-0.0207,0.4452,-0.0006
0.13,0.447,9.0203,7.1188,9.0957,3.0489,6.0454,1.2386,3.0275,0.496,0.011,0.3305,-0.0221
0.14,0.5078,9.0689,7.1929,9.0469,2.7988,5.9951,1.2269,3.0079,0.375,-0.0589,0.3083,-0.0084
0.15,0.702,9.1439,7.2262,9.0204,2.986,6.1027,1.1332,3.0928,0.3711,0.0355,0.4665,0.068
0.16,0.545,9.0605,7.1203,9.0514,2.9157,6.0533,1.0542,3.0227,0.5869,0.0848,0.4648,-0.0121
0.17,0.5141,9.1068,7.21,9.0573,2.9564,6.1063,1.0203,3.02,0.4433,-0.0303,0.5364,0.0123
0.18,0.419,9.0448,7.0754,9.0218,3.0096,6.0929,1.1607,3.0884,0.4273,0.0343,0.4188,-0.0051
0.19,0.4502,9.0906,7.037,9.1339,2.8316,6.0593,1.2131,3.0303,0.4007,-0.0249,0.3709,-0.049
0.2,0.6284,9.1379,7.2306,9.1339,2.9437,6.0928,1.2221,3.0693,0.3567,-0.0373,0.447,0.0395
0.21,0.4577,9.057,7.1469,9.1393,2.864,6.0402,1.2216,3.0061,0.5439,0.0589,0.3671,0.0214
0.22,0.5035,9.1135,7.1962,9.1218,2.8823,6.0816,1.045,3.02,0.4537,-0.019,0.4671,0.0281
0.23,0.4803,9.0218,7.0787,9.1424,3.0303,6.1,1.228,3.0885,0.424,0.0007,0.4635,-0.0302
0.24,0.4388,9.0767,7.0308,9.0633,2.9257,6.053,1.179,3.0326,0.3837,-0.0634,0.2867,-0.0315
0.25,0.4723,9.1358,7.2943,9.0565,2.837,6.048,1.2131,3.0655,0.3,-0.0074,0.4781,0.05
0.26,0.471,9.0605,7.0923,9.0774,2.8317,6.0342,1.1523,3.0237,0.4877,0.0914,0.3979,-0.0003
0.27,0.5108,9.0818,7.1655,9.0409,2.8016,6.0753,0.9327,3.0019,0.471,0.0043,0.471,0.0472
0.28,0.545,9.0358,7.1166,9.0129,2.9923,6.1365,1.1195,3.062,0.471,0.0295,0.4653,0.0593
0.29,0.4612,9.058,6.9164,9.1047,2.9947,6.0442,1.106,3.0321,0.4341,-0.0123,0.2793,-0.0057
0.3,0.52,9.1389,7.1947,9.086,2.768,6.0719,1.2045,3.0693,0.3023,-0.0354,0.4814,0.0123
0.31,0.4907,9.0993,7.0005,9.0558,2.8859,5.9942,1.0543,3.0369,0.493,0.0481,0.4631,-0.0249
0.32,0.5287,9.0427,7.1228,9.1239,2.7696,6.0273,1.0707,2.9625,0.4909,0.011,0.4741,0.0272
0.33,0.4524,9.0874,6.9308,9.1263,2.8305,6.1184,1.1195,3.0514,0.4874,0.0164,0.522,0.0255
0.34,0.4675,9.0583,7.0593,9.0726,2.816,6.0455,1.1343,2.9743,0.4022,-0.0066,0.3725,-0.049
0.35,0.6062,9.1685,7.2777,9.1339,2.9078,6.0331,1.2345,3.0735,0.3074,-0.0369,0.4061,0.0082
0.36,0.4893,9.0605,7.0261,9.1293,2.9281,6.0415,1.2111,3.0158,0.496,0.0281,0.374,-0.0364
0.37,0.4649,9.076,7.0575,9.0462,2.7677,6.0122,1.1029,3.0132,0.3137,0.0123,0.4604,0.0536
0.38,0.4833,9.0541,6.9843,9.0492,2.9538,6.0923,1.0858,3.0334,0.5948,0.0243,0.5583,0.0316
0.39,0.2565,9.0901,6.9833,9.1207,2.9317,6.0497,1.0953,2.9826,0.4789,-0.0044,0.3473,-0.0503
0.4,0.7066,9.1373,7.2072,9.0532,2.9366,6.1132,1.2031,3.0365,0.3269,-0.0369,0.4211,0.0137
0.41,0.4357,9.0583,6.9296,9.071,3.0115,6.0486,1.2167,3.0901,0.4536,0.0539,0.3897,-0.0263
0.42,0.4888,9.0886,7.136,9.1012,2.7487,6.0371,1.1206,3.0103,0.3679,-0.0156,0.4241,0.0496
0.43,0.4496,9.0552,7.014,9.072,2.9278,6.0951,1.2185,3.0216,0.6373,0.0292,0.4533,0.0433
0.44,0.5053,9.0579,6.9315,9.0647,2.8891,6.0153,1.0835,3.0103,0.4679,-0.0369,0.3656,-0.0246
0.45,0.569,9.1472,7.1873,9.1385,2.8573,6.0725,1.179,3.0939,0.3723,-0.1179,0.4039,-0.0002
0.46,0.4756,9.072,7.039,9.1599,2.9856,6.0466,1.1822,3.0592,0.4219,0.0124,0.3,-0.0299
0.47,0.479,9.0766,7.161,9.0713,2.791,6.0266,1.171,3.0003,0.3921,-0.0263,0.4436,-0.0057
0.48,0.4462,9.052,7.1371,9.1101,2.9377,6.0769,1.179,3.0423,0.377,0.0798,0.551,0.033
0.49,0.4466,9.1012,6.9083,9.1199,2.8711,6.0282,1.1359,3.0104,0.4939,0.0657,0.3563,-0.0375
0.5,0.6505,9.1506,7.0232,9.0605,2.7651,6.0899,1.1628,3.0532,0.422,-0.0217,0.4195,0.0383
0.51,0.5063,9.0811,7.063,9.0458,2.909,6.0939,1.3056,3.064,0.422,0.038,0.3909,-0.0055
0.52,0.5288,9.1335,7.066,9.1523,2.9134,6.0022,1.106,2.9786,0.4552,-0.0077,0.3139,-0.0053
0.53,0.3677,9.0281,7.0113,9.0239,2.8735,6.0625,1.1675,3.0619,0.3953,0.0558,0.5446,0.0856
0.54,0.4688,9.0522,6.9336,9.0201,2.8996,6.0123,1.073,3.0079,0.5448,0.0309,0.3867,-0.023
0.55,0.5814,9.1339,7.2218,9.0624,2.9408,6.0494,1.1163,3.0778,0.374,-0.0229,0.4886,0.0662
0.56,0.4656,9.0699,6.9931,9.0944,3.0569,6.1258,1.1764,3.0711,0.467,0.02,0.36,-0.0249
0.57,0.569,9.0707,7.0672,9.0817,2.846,6.0535,1.155,3.02,0.3619,-0.0012,0.252,-0.0321
0.58,0.3886,9.0508,7.0475,9.1033,2.8444,6.0835,1.1966,3.0814,0.4088,0.0582,0.4803,0.0615
0.59,0.4418,9.0606,6.9458,9.1224,2.8721,6.0361,1.0372,3.0079,0.6016,0.0751,0.4307,0.0028
