Time (s),F59 (N),L59 (mm),F60 (N),L60 (mm),F61 (N),L61 (mm),F63 (N),L63 (mm),F65 (N),L65 (mm),F66 (N),L66 (mm)
0,0.325,-0.0616,6.77,9.0726,2.644,5.991,0.862,2.9833,0.252,-0.0249,0.276,-0.0249
0.01,0.2554,0.0125,6.7234,9.0482,2.843,6.059,1.0886,3.018,0.4451,-0.0208,0.3207,-0.0197
0.02,0.545,0.0241,6.9425,9.0742,2.8704,6.0829,1.1423,3.0352,0.471,0.0016,0.5045,0.0076
0.03,0.3511,-0.0005,6.7971,9.1194,2.8385,6.0153,1.13,3.0417,0.4254,0.0076,0.2752,-0.0196
0.04,0.3946,-0.0262,6.8912,9.1326,2.6399,6.0375,0.9903,2.9947,0.378,-0.0231,0.2865,-0.0137
0.05,0.5638,0.037,6.918,9.1233,2.9491,6.0778,1.1642,3.0814,0.5432,0.053,0.429,0.0581
0.06,0.4518,0.0123,6.8944,9.0726,2.8775,6.0402,1.1541,3.0299,0.471,-0.028,0.349,0.018
0.07,0.4891,0.073,6.806,9.1091,2.8936,6.0938,1.0844,3.0091,0.3922,-0.0308,0.4145,-0.0085
0.08,0.3801,-0.0322,6.8205,9.0022,2.8123,6.0315,1.0994,2.9883,0.4559,-0.0104,0.5163,-0.0123
0.09,0.4573,-0.0028,6.8327,9.1422,2.7518,6.0353,1.048,2.9892,0.3265,-0.0116,0.2773,-0.0383
0.1,0.5162,0.0482,6.9862,9.1227,2.7587,6.1234,1.0835,3.0752,0.4003,0.0479,0.4098,0.033
0.11,0.447,-0.0327,6.8025,9.1166,2.8615,6.0402,1.1934,2.9845,0.447,0.026,0.3916,-0.0337
0.12,0.4665,-0.0135,6.7767,9.0749,2.9313,6.1354,1.1403,3.0616,0.4738,0.0397,0.4288,0.0215
0.13,0.3884,-0.0309,6.8776,9.0605,2.8337,6.036,1.1496,3.1046,0.4777,0.0032,0.496,-0.0076
0.14,0.4556,0.0071,6.7133,9.1594,2.6796,6.0207,1.0158,3.0087,0.3159,-0.0398,0.2946,-0.0472
0.15,0.5821,0.0803,6.9437,9.1246,2.8288,6.0806,1.1203,3.0594,0.4104,-0.0061,0.494,0.0331
0.16,0.3915,-0.0123,6.7519,9.0696,2.7729,6.0694,1.1217,3.0079,0.3786,0.0244,0.4519,-0.0027
0.17,0.5022,-0.0077,6.8252,9.0773,2.9018,6.0881,1.0314,3.0825,0.4635,0.0623,0.4686,0.0574
0.18,0.3197,-0.014,6.7819,9.0572,2.9027,6.036,1.254,3.106,0.3899,0.0398,0.3753,0.0247
0.19,0.3387,-0.0141,6.7915,9.1114,2.7267,6.0186,1.0511,2.9893,0.3429,-0.0877,0.3518,-0.0342
0.2,0.5582,0.061,6.8715,9.1321,2.8375,6.077,1.0624,2.9695,0.3747,0.084,0.3928,0.0032
0.21,0.5163,0.0017,6.8063,9.0726,2.7699,6.0663,1.057,3.0309,0.2838,0.0123,0.3895,0.0083
0.22,0.447,0.0143,6.8269,9.0952,2.7981,6.0734,1.1059,3.02,0.4517,0.037,0.4541,0.0456
0.23,0.3781,-0.0144,6.7659,9.05,2.8591,6.0729,1.2401,3.0852,0.5757,0.037,0.5333,0.0056
0.24,0.3963,0.0036,6.8104,9.0626,2.7177,6.0156,1.0348,3.0379,0.3672,-0.0446,0.4269,-0.0382
0.25,0.6046,0.0647,6.883,9.1218,2.8367,6.0546,1.1275,3.0169,0.4314,0.0147,0.3375,-0.0396
0.26,0.398,-0.0616,6.672,9.0581,2.742,6.0056,1.0709,2.9866,0.4337,0.0325,0.411,0.0035
0.27,0.4663,0.0026,6.8094,9.0923,2.8383,6.0555,1.0402,3.0272,0.4102,0.0137,0.4002,0.0134
0.28,0.369,0.0119,6.668,9.0454,2.9044,6.1057,1.2282,3.0939,0.527,0.0544,0.471,0.0604
0.29,0.3672,-0.0079,6.8122,9.1019,2.7274,6.0514,1.0882,3.0552,0.3845,0.0032,0.4102,-0.0123
0.3,0.5718,0.0683,6.9438,9.1272,2.7537,6.0587,1.0831,3.0266,0.358,0.01,0.3805,0.0111
