x,Curve1
0.1214,0.003081
0.1413,0.0044
0.5591,0.007051
0.784,0.006509
1.1293,0.011795
1.1481,0.015972
1.2801,0.018174
1.3406,0.020154
1.5463,0.016425
1.6986,0.018957
2.043,0.026441
2.136,0.023587
2.1663,0.024577
2.5818,0.033052
2.6426,0.034483
2.707,0.026353
3.0819,0.034277
3.0832,0.030871
3.781,0.049026
3.8033,0.044301
3.8246,0.041994
3.9491,0.036943
3.987,0.044637
4.0058,0.048923
4.4132,0.052014
4.5801,0.042788
4.8399,0.058072
5.4456,0.05007
5.5556,0.056227
5.6472,0.056999
6.5566,0.05626
7.4075,0.07486
7.4826,0.065302
7.7749,0.075531
8.1148,0.06818
8.298,0.069944
9.5222,0.07405

x,Curve2
0.2549,0.001327
0.9678,0.006735
0.9772,0.008933
0.989,0.004758
1.5902,0.008404
1.7414,0.013684
1.8455,0.008632
1.874,0.014347
2.0079,0.011385
2.2222,0.011832
2.4064,0.010958
2.8752,0.013721
3.3234,0.016923
3.5996,0.015943
3.6801,0.019242
3.8026,0.019466
3.9971,0.018154
4.9049,0.02148
4.9965,0.022472
5.1191,0.022476
5.3233,0.022593
5.4756,0.025016
5.7721,0.024366
6.3947,0.025486
6.6497,0.026483
7.3638,0.028814
8.7421,0.030728
8.9565,0.030845
9.6511,0.030978
9.8244,0.031862

x,Curve3
0.0405,0.00088
0.4695,0.001004
0.602,0.001668
0.928,0.003877
1.1832,0.004325
1.2535,0.007514
1.4378,0.006421
1.6016,0.005328
1.8772,0.005996
2.255,0.006228
2.377,0.007881
2.7345,0.007892
2.7641,0.010531
2.9994,0.009659
3.1622,0.011203
3.2945,0.012526
3.4689,0.010444
3.6013,0.011657
4.2538,0.014646
4.255,0.011679
4.5604,0.014326
4.8059,0.013455
5.449,0.014575
5.9183,0.015909
6.1119,0.017234
6.2046,0.01515
6.5614,0.01692
9.0418,0.021507
9.2459,0.021953
9.4298,0.021959
