x,Curve1
0.0436,0.00128
0.1471,0.006063
0.326,0.002295
0.5384,0.003645
0.8498,0.005402
0.9205,0.005739
1.4558,0.006422
1.0528,0.011129
1.8805,0.008921
1.9097,0.009931
1.9957,0.011481
2.1791,0.011956
2.6294,0.012098
2.8561,0.013651
3.1371,0.013319
3.0135,0.016145
3.3097,0.016891
3.8182,0.018852
4.0003,0.018047
4.52,0.017315
5.0281,0.018873
4.9033,0.020554
5.0455,0.02197
4.9331,0.022171
6.0183,0.024007
6.1161,0.023403
6.386,0.025831
6.9901,0.025034
8.1491,0.030238
8.6844,0.030853
8.9098,0.031194
9.9823,0.034377
11.4477,0.036556

x,Curve2
0.413,0.004721
0.6807,0.005197
0.5158,0.00883
0.7007,0.010786
0.6854,0.009574
0.9931,0.007896
1.231,0.006687
1.2055,0.009246
1.3621,0.010932
1.4573,0.007903
1.5867,0.010464
1.7268,0.009928
2.0663,0.011752
2.189,0.00805
2.3351,0.013171
2.4157,0.009536
2.5297,0.010884
2.8408,0.012438
3.0372,0.01197
3.407,0.015748
3.7043,0.017503
4.2132,0.019869
4.3366,0.016773
4.292,0.014483
4.5227,0.019874
4.7446,0.016848
5.0992,0.019614
6.0309,0.02266
6.0405,0.018418
6.1584,0.023471
6.7496,0.023817
7.2542,0.022008
8.1872,0.026266
7.8802,0.028685
