x,Curve1
0.0283,0.1819
0.0707,-0.0099
0.1413,0.7175
0.311,0.2836
0.4947,0.7184
0.5512,0.3852
0.7774,0.1535
0.9187,0.5781
0.947,0.2044
1.0601,1.4067
1.0883,0.5886
1.4276,0.5996
1.4982,0.529
1.7668,0.5802
1.9505,1.1564
2.0495,1.2173
2.1201,1.3993
2.1625,0.7933
2.2756,1.6522
2.4028,1.3596
2.6431,1.6228
2.841,1.6536
3.0106,1.7652
3.1095,1.3816
3.364,2.0085
3.8163,2.0702
3.9859,2.4141
4.5654,2.5873
4.9187,2.6488
5.0318,2.7501
5.0742,2.8512
6.0919,2.7427
6.1343,3.0862
6.4311,3.4506
7.0106,3.2601
8.1696,3.8893
8.7067,4.2442
8.9329,4.3963
10.0353,4.4395
11.5194,4.5947

x,Curve2
0.1272,0.566
0.4382,0.3243
0.5512,0.8903
0.6926,0.5472
0.7067,1.022
0.7915,0.1333
0.947,0.8913
1.1873,0.7404
1.2438,0.9425
1.2862,1.175
1.4841,0.9128
1.583,1.0646
2.2191,1.2985
2.3746,1.4908
2.417,1.8041
2.6855,1.8553
2.9682,2.2297
3.0389,2.0986
3.053,1.9269
3.3781,1.7762
3.6749,1.8982
4.212,2.1925
4.2544,2.7582
4.3958,2.7687
4.4523,2.2335
4.7633,3.2241
4.9894,2.8308
5.0883,3.0937
6.0777,2.3891
6.2332,3.6925
6.9399,3.9771
7.6184,3.4233
7.788,3.3934
7.9152,4.3331
8.2403,3.243
