x,Curve1
1.25,0.7865
2.99,0.69635
3.729,0.63972
4.161,0.69237
4.562,0.74889
4.803,0.79771
5.331,0.85421
5.888,0.90171
8.887,0.95667
10.04,0.9874
11.245,0.98985
12.668,0.98327
14.06,0.97799
15.256,0.9573
16.468,0.97774
17.74,0.99046
18.876,0.97749
20.2,0.95936
21.212,0.95412
22.645,0.97325
23.695,0.98471
25.15,0.97685
26.608,0.97927
27.809,0.97143
28.942,0.95075
30.273,0.95061
31.634,0.94662
32.897,0.93621
34.124,0.91294
35.428,0.92566
36.605,0.93711
37.878,0.9524
39.274,0.9574
40.604,0.95469
41.676,0.94044
42.762,0.96475
44.353,0.98259
45.36,0.96449
46.823,0.97719
47.764,0.95139
49.407,0.94093
50.304,0.96655
51.765,0.97411
52.776,0.9663
54.23,0.95843
55.299,0.93519
56.382,0.9505
57.72,0.97093
58.922,0.96566
60.191,0.9681
61.323,0.94742
62.23,0.91391
63.292,0.9575
64.246,0.96769
65.45,0.96756
66.876,0.96613
68.305,0.97498
69.51,0.97743
70.646,0.96446
71.912,0.96176
73.12,0.97192
74.442,0.94864
75.579,0.93824
76.95,0.96124
78.257,0.98167
79.456,0.96869
80.595,0.96601
82.052,0.96329
83.381,0.95801
84.462,0.96818
85.928,0.99116
87.381,0.97816
88.42,0.96006
89.843,0.95477
90.863,0.96881
92.249,0.94938
93.216,0.90815
93.93,0.86823
94.768,0.82187
95.792,0.84876
96.882,0.88207
97.901,0.89739

x,Curve2
1.404,0.19137
2.617,0.88148
5.278,0.96475
7.01,0.93758
8.967,0.91682
10.304,0.84984
11.648,0.88312
13.202,0.8881
14.447,0.91111
15.746,0.82872
18.19,0.92229
19.654,0.85788
20.892,0.77806
22.212,0.75093
