x,Curve1
2.287,1.364
2.821,7.82
4.354,10.575
5.103,7.799
7.588,11.007
8.78,8.227
9.745,11.679
10.633,11.902
12.087,10.965
13.736,11.412
14.627,12.327
15.655,15.548
17.176,15.534
17.812,15.989
20.329,11.812
21.602,13.185
22.635,17.791
24.683,22.388
26.087,24.682
27.869,26.512
28.756,26.504
29.574,25.112
31.018,21.868
33.064,26.233
34.027,29.224
34.956,24.139
35.841,23.669
36.853,23.198
38.251,24.108
40.54,25.933
41.703,31
42.849,32.374
43.981,30.286
44.855,27.278
46.517,30.494
47.533,30.946
49.18,30.931
49.677,28.618
50.574,30.918
52.243,35.979
53.641,36.889
54.801,41.494
56.061,39.636
57.202,39.626
58.36,43.769
59.871,41.447
62.402,40.501
63.558,44.183
64.58,46.019
66.218,43.696
66.994,47.382
68.263,47.831
69.467,47.82
70.609,48.041
72.009,49.412
72.846,52.635
73.876,56.549
74.841,59.771
75.722,58.378
76.787,55.599
77.938,57.896
79.076,57.193
80.334,55.105
81.738,57.399
82.881,57.85
83.901,59.456
84.928,62.447
85.952,64.745
87.464,62.654
88.535,61.26
89.738,61.018
90.99,57.314
91.988,53.612
93.256,53.601
94.531,55.435
95.679,57.271
96.518,60.724
97.232,64.872
98.259,67.862

x,Curve2
0.73,7.839
2.04,17.75
4.124,16.116
5.088,19.338
5.496,25.795
6.022,30.406
7.345,28.548
9.991,39.831
11.522,42.355
12.569,50.192
13.885,46.487
15.427,51.55
16.492,48.54
17.653,53.376
19.178,54.515
20.504,68.349
21.928,60.259
