x,Curve1
0.1118,0.1982
1.145,0.7208
1.2472,0.7871
3.0892,1.6091
3.8056,1.9082
4.0102,2.0077
5.5456,2.6062
5.6383,2.5241
8.311,3.3488
9.5295,3.7567

x,Curve2
0.1122,0.124
0.5525,0.2573
1.3404,0.6308
2.0672,0.8887
2.579,1.0882
2.6507,1.1131
3.797,1.5867
3.8384,1.5209
3.9816,1.5791
4.3716,1.5474
4.8618,1.9528
7.4229,2.53
7.7711,2.6383

x,Curve3
0.2866,0.1163
0.7064,0.2578
1.157,0.3829
1.5258,0.4748
1.7,0.5001
2.1406,0.5922
2.1915,0.6666
2.7447,0.792
3.083,0.8179
3.9839,1.1423
4.5986,1.2679
5.4397,1.2542
6.5359,1.4968
7.5194,1.7226
8.1137,1.8235
