x,c00
1.72304,0.62128
1.72894,0.69111
1.73485,0.74232
1.74311,0.81447
1.7502,0.87499
1.76201,0.92387
1.79158,0.91921
1.81405,0.93317
1.84007,0.96109
1.8649,0.99367
1.88855,1.02625
1.91338,1.0565
1.93821,1.08676
1.96305,1.11701
1.98906,1.14726
2.01508,1.17286
2.03991,1.20078
2.06474,1.22638
2.08958,1.25431
2.1014,1.26594
2.12623,1.29619
2.15225,1.32412
2.17708,1.35437
2.20191,1.38462
2.22793,1.41255
2.25395,1.44047
2.27996,1.46607
2.30598,1.494
2.33081,1.52425
2.35683,1.55217
2.38284,1.5801
2.40886,1.60802
2.43369,1.63595
2.45734,1.66154
2.46916,1.67551
2.49518,1.70343
2.52001,1.73136
2.54603,1.75928
2.57086,1.78721
2.59688,1.81513
2.62289,1.84306
2.64891,1.87098
2.67492,1.89891
2.70094,1.9245
2.72814,1.95243
2.75415,1.97802
2.78017,2.00362
2.80619,2.02922
2.83102,2.05481

x,c01
2.09705,0.84427
2.10267,0.92926
2.10829,0.99576
2.11391,1.05858
2.12141,1.13432
2.13078,1.19345
2.14204,1.21376
2.15425,1.20082
2.1674,1.17125
2.18149,1.15647
2.19744,1.16386
2.27909,1.25251
2.48464,1.476
2.6883,1.72535
2.8929,1.98394
3.02805,2.14833
3.21108,2.33672

x,c02
2.46971,0.98086
2.48001,1.12867
2.49126,1.25799
2.49875,1.33558
2.50719,1.37992
2.51658,1.39654
2.52596,1.3873
2.53723,1.36883
2.5485,1.35035
2.56071,1.33556
2.57573,1.32817
2.57573,1.32817
2.59544,1.34109
2.61516,1.3651
2.63392,1.39281
2.71464,1.50364
2.79441,1.60153
2.88263,1.71051
2.9549,1.81025
3.03186,1.91738
3.14166,2.067
3.24021,2.18891
3.35283,2.32374
3.44106,2.41793
3.51427,2.49366
3.56307,2.53429
