time,lN,fN01,fN02,fN03,fN04,fN05,fN06,fN07,fN08,fN09,fN10,fN11,fN12,fN13,fN14,fN15,fN16,fN17,fN18,fN19,fN20,fN21,fN22,fN23,fN24,fNavg,fNstd,fNmin,fNmax
5.000000e+00,1.000080e+00,9.837405e-01,9.497087e-01,8.986547e-01,1.040333e+00,9.768462e-01,1.011863e+00,1.045972e+00,1.040552e+00,9.767785e-01,9.816500e-01,9.974721e-01,9.996610e-01,9.987234e-01,9.512000e-01,1.001280e+00,9.767347e-01,9.851807e-01,9.224277e-01,9.932500e-01,9.556731e-01,9.817677e-01,9.842041e-01,9.406250e-01,9.737647e-01,9.820026e-01,3.428053e-02,8.986547e-01,1.045972e+00
5.001000e+00,1.000260e+00,9.838168e-01,9.492233e-01,8.993274e-01,1.040111e+00,9.768846e-01,1.012112e+00,1.045853e+00,1.039724e+00,9.761745e-01,9.817000e-01,9.980297e-01,1.000339e+00,9.983404e-01,9.513600e-01,1.001280e+00,9.772653e-01,9.851205e-01,9.230636e-01,9.936250e-01,9.551442e-01,9.826263e-01,9.839184e-01,9.415000e-01,9.750000e-01,9.821475e-01,3.409002e-02,8.993274e-01,1.045853e+00
5.002000e+00,1.000090e+00,9.841221e-01,9.501942e-01,8.990583e-01,1.039222e+00,9.763077e-01,1.012267e+00,1.046043e+00,1.040000e+00,9.773154e-01,9.811500e-01,9.978439e-01,9.998870e-01,9.980851e-01,9.520000e-01,1.000863e+00,9.773061e-01,9.850602e-01,9.219653e-01,9.939375e-01,9.553846e-01,9.818687e-01,9.842857e-01,9.415000e-01,9.750000e-01,9.821111e-01,3.407871e-02,8.990583e-01,1.046043e+00
5.003000e+00,1.000490e+00,9.831298e-01,9.493204e-01,8.989238e-01,1.040778e+00,9.762692e-01,1.012516e+00,1.046635e+00,1.040276e+00,9.777181e-01,9.814500e-01,9.982156e-01,1.000395e+00,9.985532e-01,9.504800e-01,1.000804e+00,9.767347e-01,9.846386e-01,9.220231e-01,9.936875e-01,9.556250e-01,9.824242e-01,9.850204e-01,9.413750e-01,9.742941e-01,9.821369e-01,3.439196e-02,8.989238e-01,1.046635e+00
5.004000e+00,1.000480e+00,9.853435e-01,9.520388e-01,9.001345e-01,1.041444e+00,9.780385e-01,1.013012e+00,1.047844e+00,1.042414e+00,9.795973e-01,9.826000e-01,9.993680e-01,9.997740e-01,9.989787e-01,9.512000e-01,1.001458e+00,9.775918e-01,9.854217e-01,9.241040e-01,9.944375e-01,9.570673e-01,9.845455e-01,9.863673e-01,9.431250e-01,9.760588e-01,9.834152e-01,3.417469e-02,9.001345e-01,1.047844e+00
5.005000e+00,1.000590e+00,9.869466e-01,9.514563e-01,9.017937e-01,1.042667e+00,9.803077e-01,1.015745e+00,1.050806e+00,1.044966e+00,9.826174e-01,9.845000e-01,1.001301e+00,1.001977e+00,1.000170e+00,9.532000e-01,1.003929e+00,9.790612e-01,9.879518e-01,9.260116e-01,9.963125e-01,9.600481e-01,9.876263e-01,9.902449e-01,9.450000e-01,9.781176e-01,9.855315e-01,3.438748e-02,9.017937e-01,1.050806e+00
5.006000e+00,1.000900e+00,9.898473e-01,9.555340e-01,9.055157e-01,1.047778e+00,9.846923e-01,1.017174e+00,1.055687e+00,1.048345e+00,9.871141e-01,9.876500e-01,1.004349e+00,1.003898e+00,1.001064e+00,9.544800e-01,1.008750e+00,9.809388e-01,9.921084e-01,9.321387e-01,9.995625e-01,9.654808e-01,9.925758e-01,9.961633e-01,9.496250e-01,9.814706e-01,9.892476e-01,3.425330e-02,9.055157e-01,1.055687e+00
5.007000e+00,1.001240e+00,9.931298e-01,9.595146e-01,9.085650e-01,1.048556e+00,9.896538e-01,1.020776e+00,1.062867e+00,1.052828e+00,9.924832e-01,9.911500e-01,1.008736e+00,1.005028e+00,1.004000e+00,9.552800e-01,1.013899e+00,9.840000e-01,9.947590e-01,9.374566e-01,1.004188e+00,9.720192e-01,9.991919e-01,1.005224e+00,9.523750e-01,9.854118e-01,9.933788e-01,3.451078e-02,9.085650e-01,1.062867e+00
5.008000e+00,1.001560e+00,9.981679e-01,9.638835e-01,9.114798e-01,1.053111e+00,9.960385e-01,1.024783e+00,1.069645e+00,1.059586e+00,9.996644e-01,9.953000e-01,1.014089e+00,1.008079e+00,1.008085e+00,9.586400e-01,1.021101e+00,9.880816e-01,9.992771e-01,9.442197e-01,1.008750e+00,9.802404e-01,1.008232e+00,1.013673e+00,9.562500e-01,9.910588e-01,9.988099e-01,3.502270e-02,9.114798e-01,1.069645e+00
5.009000e+00,1.001710e+00,1.004809e+00,9.677670e-01,9.173991e-01,1.058889e+00,1.002462e+00,1.029534e+00,1.077085e+00,1.065586e+00,1.008389e+00,1.000550e+00,1.019294e+00,1.011017e+00,1.011404e+00,9.590400e-01,1.028631e+00,9.918776e-01,1.003675e+00,9.506358e-01,1.015000e+00,9.875000e-01,1.017273e+00,1.024245e+00,9.606250e-01,9.972941e-01,1.004583e+00,3.565118e-02,9.173991e-01,1.077085e+00
5.010000e+00,1.001920e+00,1.009771e+00,9.727184e-01,9.225112e-01,1.063778e+00,1.008731e+00,1.034969e+00,1.085047e+00,1.073448e+00,1.016980e+00,1.005000e+00,1.025428e+00,1.014802e+00,1.016128e+00,9.623200e-01,1.037440e+00,9.952653e-01,1.009277e+00,9.573988e-01,1.021187e+00,9.954808e-01,1.026616e+00,1.034449e+00,9.665000e-01,1.003471e+00,1.010780e+00,3.636188e-02,9.225112e-01,1.085047e+00
5.011000e+00,1.002280e+00,1.016565e+00,9.780583e-01,9.278924e-01,1.069889e+00,1.015000e+00,1.040528e+00,1.092417e+00,1.082207e+00,1.025772e+00,1.010100e+00,1.031896e+00,1.019435e+00,1.020128e+00,9.652800e-01,1.046101e+00,1.000082e+00,1.014880e+00,9.645087e-01,1.028250e+00,1.003894e+00,1.035606e+00,1.045388e+00,9.738750e-01,1.009824e+00,1.017399e+00,3.710299e-02,9.278924e-01,1.092417e+00
5.012000e+00,1.002340e+00,1.021908e+00,9.835922e-01,9.334081e-01,1.074000e+00,1.021923e+00,1.045745e+00,1.100806e+00,1.090345e+00,1.033356e+00,1.014750e+00,1.038550e+00,1.022599e+00,1.024128e+00,9.659200e-01,1.055476e+00,1.004122e+00,1.019880e+00,9.716185e-01,1.033688e+00,1.011971e+00,1.044798e+00,1.055959e+00,9.816250e-01,1.016118e+00,1.023595e+00,3.795559e-02,9.334081e-01,1.100806e+00
5.013000e+00,1.002700e+00,1.028473e+00,9.869903e-01,9.392825e-01,1.079111e+00,1.028731e+00,1.050932e+00,1.108744e+00,1.097931e+00,1.041611e+00,1.021200e+00,1.045204e+00,1.026497e+00,1.028596e+00,9.697600e-01,1.065238e+00,1.009388e+00,1.025120e+00,9.792486e-01,1.040375e+00,1.021058e+00,1.054899e+00,1.067306e+00,9.880000e-01,1.023412e+00,1.030296e+00,3.878680e-02,9.392825e-01,1.108744e+00
5.014000e+00,1.002970e+00,1.035420e+00,9.921359e-01,9.442152e-01,1.087556e+00,1.036154e+00,1.055621e+00,1.117630e+00,1.105310e+00,1.050201e+00,1.025950e+00,1.052045e+00,1.030452e+00,1.033447e+00,9.727200e-01,1.075714e+00,1.014816e+00,1.031446e+00,9.873988e-01,1.046812e+00,1.031202e+00,1.064747e+00,1.078571e+00,9.945000e-01,1.029353e+00,1.037226e+00,3.998899e-02,9.442152e-01,1.117630e+00
5.015000e+00,1.003290e+00,1.041221e+00,9.985437e-01,9.500448e-01,1.091333e+00,1.043308e+00,1.061273e+00,1.126991e+00,1.112345e+00,1.058658e+00,1.031650e+00,1.058996e+00,1.035141e+00,1.037872e+00,9.740000e-01,1.086012e+00,1.020816e+00,1.036807e+00,9.961272e-01,1.053250e+00,1.041250e+00,1.074343e+00,1.090612e+00,1.001125e+00,1.036353e+00,1.044086e+00,4.099630e-02,9.500448e-01,1.126991e+00
5.016000e+00,1.003490e+00,1.047710e+00,1.002039e+00,9.568161e-01,1.096111e+00,1.051154e+00,1.066491e+00,1.136374e+00,1.121517e+00,1.069262e+00,1.036600e+00,1.066134e+00,1.039831e+00,1.043362e+00,9.787200e-01,1.097232e+00,1.026735e+00,1.043614e+00,1.005376e+00,1.060625e+00,1.051490e+00,1.085404e+00,1.103347e+00,1.008375e+00,1.044000e+00,1.051597e+00,4.219443e-02,9.568161e-01,1.136374e+00
5.017000e+00,1.003720e+00,1.054351e+00,1.006796e+00,9.629148e-01,1.103111e+00,1.058231e+00,1.073478e+00,1.146848e+00,1.131448e+00,1.078658e+00,1.042750e+00,1.073494e+00,1.042768e+00,1.048085e+00,9.813600e-01,1.109554e+00,1.032857e+00,1.049578e+00,1.014740e+00,1.067000e+00,1.062885e+00,1.096010e+00,1.115755e+00,1.014875e+00,1.050882e+00,1.059101e+00,4.394217e-02,9.629148e-01,1.146848e+00
5.018000e+00,1.004050e+00,1.062443e+00,1.014563e+00,9.696413e-01,1.105778e+00,1.066154e+00,1.079348e+00,1.156991e+00,1.140828e+00,1.088121e+00,1.050050e+00,1.080706e+00,1.047966e+00,1.053064e+00,9.860800e-01,1.121994e+00,1.039592e+00,1.056988e+00,1.024624e+00,1.074125e+00,1.074231e+00,1.107980e+00,1.128776e+00,1.021875e+00,1.058353e+00,1.067095e+00,4.512093e-02,9.696413e-01,1.156991e+00
5.019000e+00,1.004180e+00,1.068015e+00,1.019612e+00,9.769058e-01,1.113667e+00,1.073654e+00,1.086366e+00,1.168673e+00,1.151103e+00,1.097450e+00,1.056000e+00,1.088773e+00,1.052994e+00,1.058553e+00,9.882400e-01,1.134821e+00,1.046327e+00,1.063916e+00,1.034335e+00,1.080500e+00,1.086442e+00,1.119192e+00,1.141347e+00,1.028875e+00,1.065176e+00,1.075039e+00,4.707511e-02,9.769058e-01,1.168673e+00
5.020000e+00,1.004530e+00,1.075725e+00,1.025340e+00,9.839910e-01,1.118111e+00,1.081731e+00,1.093292e+00,1.179716e+00,1.160759e+00,1.107450e+00,1.062300e+00,1.096208e+00,1.058362e+00,1.064383e+00,9.928800e-01,1.148304e+00,1.053184e+00,1.070060e+00,1.045318e+00,1.086812e+00,1.098317e+00,1.131162e+00,1.154490e+00,1.037875e+00,1.073294e+00,1.083294e+00,4.862521e-02,9.839910e-01,1.179716e+00
5.021000e+00,1.004800e+00,1.081985e+00,1.030777e+00,9.909417e-01,1.123667e+00,1.089808e+00,1.099814e+00,1.192133e+00,1.170414e+00,1.116644e+00,1.068550e+00,1.104610e+00,1.063559e+00,1.070638e+00,9.965600e-01,1.161548e+00,1.059673e+00,1.074880e+00,1.055896e+00,1.093938e+00,1.110048e+00,1.143939e+00,1.167633e+00,1.045625e+00,1.080941e+00,1.091426e+00,5.061560e-02,9.909417e-01,1.192133e+00
5.022000e+00,1.005110e+00,1.090992e+00,1.037184e+00,9.975785e-01,1.129556e+00,1.097308e+00,1.106366e+00,1.204100e+00,1.181241e+00,1.127181e+00,1.074850e+00,1.112788e+00,1.068983e+00,1.077447e+00,1.000640e+00,1.174524e+00,1.067755e+00,1.081506e+00,1.066879e+00,1.101438e+00,1.112885e+00,1.156465e+00,1.182163e+00,1.054250e+00,1.089294e+00,1.099724e+00,5.247969e-02,9.975785e-01,1.204100e+00
5.023000e+00,1.005280e+00,1.097557e+00,1.042913e+00,1.004753e+00,1.135111e+00,1.105923e+00,1.112950e+00,1.216872e+00,1.192000e+00,1.138591e+00,1.081950e+00,1.121338e+00,1.074463e+00,1.083745e+00,1.005360e+00,1.187411e+00,1.074653e+00,1.088554e+00,1.077746e+00,1.108187e+00,1.081875e+00,1.169394e+00,1.196041e+00,1.063375e+00,1.097118e+00,1.106578e+00,5.465587e-02,1.004753e+00,1.216872e+00
5.024000e+00,1.005560e+00,1.105802e+00,1.047282e+00,1.013363e+00,1.140444e+00,1.114192e+00,1.120373e+00,1.228531e+00,1.202966e+00,1.148859e+00,1.088650e+00,1.129814e+00,1.081525e+00,1.090638e+00,1.009120e+00,1.200982e+00,1.081633e+00,1.095422e+00,1.090173e+00,1.115250e+00,1.050817e+00,1.181566e+00,1.209755e+00,1.073875e+00,1.104824e+00,1.113577e+00,5.776050e-02,1.009120e+00,1.228531e+00
5.025000e+00,1.005910e+00,1.113130e+00,1.054951e+00,1.021435e+00,1.147111e+00,1.122846e+00,1.128199e+00,1.240829e+00,1.213724e+00,1.160067e+00,1.095500e+00,1.137993e+00,1.088531e+00,1.097574e+00,1.013040e+00,1.213958e+00,1.088449e+00,1.101627e+00,1.101561e+00,1.121188e+00,1.032452e+00,1.194394e+00,1.223429e+00,1.083375e+00,1.112529e+00,1.121162e+00,6.103786e-02,1.013040e+00,1.240829e+00
5.026000e+00,1.006040e+00,1.119389e+00,1.060485e+00,1.029148e+00,1.154000e+00,1.132500e+00,1.135311e+00,1.252204e+00,1.224828e+00,1.169799e+00,1.101400e+00,1.147658e+00,1.094972e+00,1.105149e+00,1.017600e+00,1.226905e+00,1.095306e+00,1.108976e+00,1.112254e+00,1.128375e+00,1.023942e+00,1.206717e+00,1.237061e+00,1.091375e+00,1.121000e+00,1.129015e+00,6.401292e-02,1.017600e+00,1.252204e+00
5.027000e+00,1.006320e+00,1.126107e+00,1.067184e+00,1.038206e+00,1.156667e+00,1.141154e+00,1.142205e+00,1.263460e+00,1.234483e+00,1.179530e+00,1.108500e+00,1.156245e+00,1.100056e+00,1.111489e+00,1.021760e+00,1.239851e+00,1.103673e+00,1.115843e+00,1.123815e+00,1.135562e+00,1.020817e+00,1.219848e+00,1.250735e+00,1.101000e+00,1.130059e+00,1.137010e+00,6.643325e-02,1.020817e+00,1.263460e+00
5.028000e+00,1.006600e+00,1.130916e+00,1.072913e+00,1.045964e+00,1.161778e+00,1.150500e+00,1.148944e+00,1.274384e+00,1.244207e+00,1.189664e+00,1.115300e+00,1.164944e+00,1.107458e+00,1.119617e+00,1.026240e+00,1.251488e+00,1.110245e+00,1.122410e+00,1.135318e+00,1.142375e+00,1.021202e+00,1.231818e+00,1.263673e+00,1.109125e+00,1.137235e+00,1.144905e+00,6.861651e-02,1.021202e+00,1.274384e+00
5.029000e+00,1.006720e+00,1.140076e+00,1.079417e+00,1.053453e+00,1.168667e+00,1.159231e+00,1.155901e+00,1.285284e+00,1.253655e+00,1.199597e+00,1.122700e+00,1.173569e+00,1.114068e+00,1.126213e+00,1.030480e+00,1.264256e+00,1.117143e+00,1.128554e+00,1.146012e+00,1.148438e+00,1.024519e+00,1.244848e+00,1.276286e+00,1.116250e+00,1.144706e+00,1.153055e+00,7.072959e-02,1.024519e+00,1.285284e+00
