time,lN,fN01,fN02,fN03,fN04,fN05,fN06,fN07,fN08,fN09,fN10,fN11,fN12,fN13,fN14,fN15,fN16,fN17,fN18,fN19,fN20,fN21,fN22,fN23,fN24,fNavg,fNstd,fNmin,fNmax
1.000000e-03,1.000180e+00,-2.564885e-01,-1.880583e-01,-1.139013e-01,-2.273333e-01,-1.011538e-01,-9.161491e-02,-6.530806e-02,-2.378621e-01,-1.634899e-01,-1.358500e-01,-1.726766e-01,-1.780791e-01,-1.255745e-01,-2.344800e-01,-9.538690e-02,-2.096735e-01,-9.072289e-02,-6.913295e-02,-1.891875e-01,-1.444231e-01,-1.593434e-01,-1.721633e-01,-3.437500e-01,-2.577647e-01,-1.676424e-01,6.788519e-02,-3.437500e-01,-6.530806e-02
2.000000e-03,1.000220e+00,-2.331298e-01,-1.598058e-01,-1.183857e-01,-2.136667e-01,-1.018846e-01,-9.068323e-02,-6.194313e-02,-2.162069e-01,-1.691275e-01,-1.397500e-01,-1.671004e-01,-1.785311e-01,-1.182128e-01,-2.419200e-01,-9.901786e-02,-2.087755e-01,-9.072289e-02,-7.323699e-02,-1.876875e-01,-1.411058e-01,-1.559091e-01,-1.712653e-01,-3.492500e-01,-2.671176e-01,-1.647682e-01,6.667616e-02,-3.492500e-01,-6.194313e-02
3.000000e-03,1.000130e+00,-2.490076e-01,-1.731068e-01,-1.040807e-01,-2.067778e-01,-1.079231e-01,-8.993789e-02,-6.215640e-02,-2.111724e-01,-1.713423e-01,-1.447500e-01,-1.661710e-01,-1.670621e-01,-1.183830e-01,-2.473600e-01,-1.108631e-01,-2.099592e-01,-9.307229e-02,-7.867052e-02,-1.845625e-01,-1.428846e-01,-1.524242e-01,-1.693878e-01,-3.601250e-01,-2.612941e-01,-1.659364e-01,6.756032e-02,-3.601250e-01,-6.215640e-02
4.000000e-03,1.000200e+00,-2.769466e-01,-2.336893e-01,-1.167265e-01,-2.167778e-01,-1.148462e-01,-9.108696e-02,-6.369668e-02,-1.695172e-01,-1.683221e-01,-1.473500e-01,-1.691822e-01,-1.581356e-01,-1.234894e-01,-2.456000e-01,-1.233929e-01,-2.100816e-01,-9.728916e-02,-8.601156e-02,-1.892500e-01,-1.510577e-01,-1.504545e-01,-1.665306e-01,-3.708750e-01,-2.713529e-01,-1.713193e-01,6.995546e-02,-3.708750e-01,-6.369668e-02
5.000000e-03,1.000150e+00,-2.792366e-01,-2.694175e-01,-1.278924e-01,-2.388889e-01,-1.173462e-01,-9.394410e-02,-6.369668e-02,-1.677241e-01,-1.733557e-01,-1.466000e-01,-1.707063e-01,-1.733898e-01,-1.241277e-01,-2.339200e-01,-1.678571e-01,-2.115510e-01,-9.704819e-02,-8.757225e-02,-1.940000e-01,-1.559135e-01,-1.529798e-01,-1.655918e-01,-3.753750e-01,-2.805882e-01,-1.778635e-01,7.153499e-02,-3.753750e-01,-6.369668e-02
6.000000e-03,1.000180e+00,-2.594656e-01,-2.742718e-01,-1.333184e-01,-2.574444e-01,-1.106538e-01,-9.381988e-02,-6.087678e-02,-2.071034e-01,-1.732215e-01,-1.431000e-01,-1.672491e-01,-1.879096e-01,-1.211489e-01,-2.322400e-01,-1.958036e-01,-2.111837e-01,-9.373494e-02,-8.260116e-02,-1.920000e-01,-1.549519e-01,-1.552525e-01,-1.691429e-01,-3.672500e-01,-2.759412e-01,-1.799869e-01,7.138048e-02,-3.672500e-01,-6.087678e-02
7.000000e-03,1.000210e+00,-2.495420e-01,-2.575728e-01,-1.517040e-01,-2.672222e-01,-1.040769e-01,-9.388199e-02,-5.888626e-02,-2.001379e-01,-1.653691e-01,-1.449500e-01,-1.650558e-01,-1.971751e-01,-1.171064e-01,-2.364800e-01,-2.236310e-01,-2.100000e-01,-9.421687e-02,-7.346821e-02,-1.925625e-01,-1.484135e-01,-1.548990e-01,-1.723265e-01,-3.566250e-01,-2.635294e-01,-1.791180e-01,7.015874e-02,-3.566250e-01,-5.888626e-02
8.000000e-03,1.000210e+00,-2.581679e-01,-2.613592e-01,-1.450673e-01,-2.662222e-01,-1.049231e-01,-9.350932e-02,-6.011848e-02,-2.278621e-01,-1.657718e-01,-1.465500e-01,-1.682156e-01,-1.870056e-01,-1.189362e-01,-2.355200e-01,-2.510417e-01,-2.041633e-01,-9.493976e-02,-6.589595e-02,-1.930000e-01,-1.395673e-01,-1.534343e-01,-1.748163e-01,-3.447500e-01,-2.534118e-01,-1.797604e-01,7.083927e-02,-3.447500e-01,-6.011848e-02
9.000000e-03,1.000190e+00,-2.673282e-01,-2.838835e-01,-1.490583e-01,-2.493333e-01,-1.077692e-01,-9.487578e-02,-6.469194e-02,-2.383448e-01,-1.614765e-01,-1.430000e-01,-1.709294e-01,-1.754802e-01,-1.275319e-01,-2.391200e-01,-2.666964e-01,-1.960408e-01,-9.096386e-02,-6.531792e-02,-1.890000e-01,-1.388942e-01,-1.527273e-01,-1.736327e-01,-3.421250e-01,-2.525882e-01,-1.808671e-01,7.198160e-02,-3.421250e-01,-6.469194e-02
1.000000e-02,1.000260e+00,-2.587023e-01,-2.956311e-01,-1.585202e-01,-2.286667e-01,-1.084231e-01,-9.422360e-02,-6.713270e-02,-2.297241e-01,-1.412081e-01,-1.358500e-01,-1.719331e-01,-1.830508e-01,-1.314043e-01,-2.451200e-01,-2.677976e-01,-1.947347e-01,-8.156627e-02,-7.387283e-02,-1.931875e-01,-1.491827e-01,-1.530808e-01,-1.700000e-01,-3.566250e-01,-2.632353e-01,-1.813697e-01,7.334928e-02,-3.566250e-01,-6.713270e-02
