ASI600A Export Data File
Created: Wed Sep  9 13:03:24 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.30020     1.00015     0.01352 
   66.30040     1.00011     0.01338 
   66.30060     1.00008     0.01333 
   66.30080     1.00015     0.01323 
   66.30100     1.00005     0.01308 
   66.30120     1.00005     0.01298 
   66.30140     1.00013     0.01308 
   66.30160     1.00005     0.01298 
   66.30180     1.00013     0.01298 
   66.30200     1.00008     0.01283 
   66.30220     1.00008     0.01303 
   66.30240     1.00011     0.01308 
   66.30260     1.00011     0.01313 
   66.30280     1.00008     0.01308 
   66.30300     1.00013     0.01333 
   66.30320     1.00015     0.01333 
   66.30340     1.00003     0.01352 
   66.30360     1.00015     0.01362 
   66.30380     1.00015     0.01382 
   66.30400     1.00011     0.01387 
   66.30420     1.00005     0.01392 
   66.30440     1.00013     0.01387 
   66.30460     1.00005     0.01387 
   66.30480     1.00008     0.01397 
   66.30500     1.00013     0.01387 
   66.30520     1.00008     0.01367 
   66.30540     1.00013     0.01367 
   66.30560     1.00013     0.01392 
   66.30580     1.00011     0.01372 
   66.30600     1.00011     0.01377 
   66.30620     1.00003     0.01372 
   66.30640     1.00018     0.01372 
   66.30660     1.00003     0.01372 
   66.30680     1.00015     0.01372 
   66.30700     1.00003     0.01377 
   66.30720     1.00008     0.01372 
   66.30740     1.00008     0.01392 
   66.30760     1.00015     0.01382 
   66.30780     1.00008     0.01392 
   66.30800     0.99997     0.01392 
   66.30820     1.00003     0.01397 
   66.30840     1.00026     0.01422 
   66.30860     1.00005     0.01412 
   66.30880     0.99997     0.01432 
   66.30900     1.00013     0.01432 
   66.30920     1.00008     0.01427 
   66.30940     1.00005     0.01432 
   66.30960     1.00026     0.01437 
   66.30980     1.00013     0.01432 
   66.31000     1.00005     0.01442 
   66.31020     1.00013     0.01432 
   66.31040     1.00011     0.01432 
   66.31060     1.00013     0.01437 
   66.31080     1.00011     0.01422 
   66.31100     1.00011     0.01427 
   66.31120     1.00011     0.01427 
   66.31140     1.00013     0.01432 
   66.31160     1.00015     0.01432 
   66.31180     1.00005     0.01447 
   66.31200     1.00013     0.01422 
   66.31220     1.00005     0.01452 
   66.31240     0.99997     0.01447 
   66.31260     1.00011     0.01456 
   66.31280     1.00021     0.01456 
   66.31300     0.99997     0.01486 
   66.31320     1.00011     0.01486 
   66.31340     1.00003     0.01491 
   66.31360     1.00015     0.01506 
   66.31380     1.00011     0.01516 
   66.31400     1.00005     0.01501 
   66.31420     1.00008     0.01511 
   66.31440     1.00013     0.01506 
   66.31460     1.00008     0.01531 
   66.31480     1.00015     0.01501 
   66.31500     1.00008     0.01501 
   66.31520     1.00011     0.01496 
   66.31540     1.00011     0.01496 
   66.31560     1.00008     0.01481 
   66.31580     1.00008     0.01476 
   66.31600     1.00011     0.01466 
   66.31620     1.00008     0.01471 
   66.31640     1.00008     0.01447 
   66.31660     1.00008     0.01466 
   66.31680     1.00008     0.01466 
   66.31700     1.00005     0.01461 
   66.31720     1.00013     0.01471 
   66.31740     1.00005     0.01471 
   66.31760     1.00011     0.01461 
   66.31780     1.00013     0.01471 
   66.31800     1.00005     0.01481 
   66.31820     1.00008     0.01496 
   66.31840     1.00011     0.01511 
   66.31860     1.00011     0.01516 
   66.31880     1.00008     0.01521 
   66.31900     1.00013     0.01541 
   66.31920     1.00011     0.01541 
   66.31940     1.00011     0.01536 
   66.31960     1.00015     0.01546 
   66.31980     1.00013     0.01546 
   66.32000     1.00015     0.01551 
   66.32020     1.00011     0.01546 
   66.32040     1.00018     0.01565 
   66.32060     1.00015     0.01556 
   66.32080     1.00005     0.01551 
   66.32100     1.00018     0.01546 
   66.32120     1.00000     0.01556 
   66.32140     1.00013     0.01531 
   66.32160     1.00011     0.01556 
   66.32180     1.00011     0.01536 
   66.32200     1.00013     0.01561 
   66.32220     1.00013     0.01551 
   66.32240     1.00011     0.01570 
   66.32260     1.00008     0.01561 
   66.32280     1.00021     0.01556 
   66.32300     1.00008     0.01546 
   66.32320     1.00008     0.01561 
   66.32340     1.00011     0.01551 
   66.32360     1.00008     0.01546 
   66.32380     1.00013     0.01575 
   66.32400     1.00013     0.01565 
   66.32420     1.00013     0.01590 
   66.32440     1.00015     0.01570 
   66.32460     1.00013     0.01570 
   66.32480     1.00000     0.01556 
   66.32500     1.00013     0.01546 
   66.32520     1.00018     0.01561 
   66.32540     1.00005     0.01565 
   66.32560     1.00005     0.01561 
   66.32580     1.00013     0.01556 
   66.32600     1.00003     0.01556 
   66.32620     1.00015     0.01561 
   66.32640     1.00005     0.01561 
   66.32660     1.00015     0.01565 
   66.32680     1.00011     0.01575 
   66.32700     1.00011     0.01590 
   66.32720     1.00013     0.01570 
   66.32740     1.00003     0.01590 
   66.32760     1.00024     0.01590 
   66.32780     1.00011     0.01610 
   66.32800     1.00003     0.01615 
   66.32820     1.00018     0.01625 
   66.32840     1.00011     0.01615 
   66.32860     1.00015     0.01645 
   66.32880     1.00015     0.01645 
   66.32900     1.00008     0.01670 
   66.32920     1.00011     0.01665 
   66.32940     1.00013     0.01655 
   66.32960     1.00008     0.01670 
   66.32980     1.00008     0.01665 
   66.33000     1.00003     0.01650 
   66.33020     1.00024     0.01660 
   66.33040     0.99995     0.01665 
   66.33060     1.00008     0.01655 
   66.33080     1.00015     0.01655 
   66.33100     1.00011     0.01655 
   66.33120     1.00011     0.01630 
   66.33140     1.00008     0.01640 
   66.33160     1.00018     0.01635 
   66.33180     1.00011     0.01645 
   66.33200     1.00008     0.01650 
   66.33220     1.00018     0.01640 
   66.33240     1.00008     0.01640 
   66.33260     1.00008     0.01650 
   66.33280     1.00015     0.01640 
   66.33300     1.00005     0.01650 
   66.33320     1.00013     0.01645 
   66.33340     1.00011     0.01665 
   66.33360     1.00011     0.01655 
   66.33380     1.00011     0.01650 
   66.33400     1.00008     0.01665 
   66.33420     1.00011     0.01655 
   66.33440     1.00013     0.01665 
   66.33460     1.00008     0.01694 
   66.33480     1.00008     0.01665 
   66.33500     1.00018     0.01679 
   66.33520     1.00005     0.01674 
   66.33540     1.00011     0.01684 
   66.33560     1.00008     0.01689 
   66.33580     1.00011     0.01694 
   66.33600     1.00011     0.01684 
   66.33620     1.00008     0.01684 
   66.33640     1.00018     0.01689 
   66.33660     1.00005     0.01704 
   66.33680     1.00015     0.01709 
   66.33700     1.00008     0.01714 
   66.33720     1.00015     0.01714 
   66.33740     1.00021     0.01709 
   66.33760     1.00003     0.01724 
   66.33780     1.00015     0.01714 
   66.33800     1.00013     0.01744 
   66.33820     1.00005     0.01709 
   66.33840     1.00011     0.01719 
   66.33860     1.00018     0.01729 
   66.33880     1.00000     0.01734 
   66.33900     1.00015     0.01739 
   66.33920     1.00015     0.01744 
   66.33940     0.99997     0.01734 
   66.33960     1.00013     0.01734 
   66.33980     1.00015     0.01744 
   66.34000     1.00000     0.01729 
   66.34020     1.00018     0.01709 
   66.34040     1.00008     0.01719 
   66.34060     1.00011     0.01719 
   66.34080     1.00013     0.01719 
   66.34100     1.00005     0.01709 
