ASI600A Export Data File
Created: Wed Sep  9 13:05:06 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
    0.00000     1.00013     0.00025 
    0.00020     1.00013     0.00005 
    0.00040     1.00005     0.00020 
    0.00060     1.00018     0.00015 
    0.00080     1.00015     0.00025 
    0.00100     1.00013     0.00015 
    0.00120     1.00005    -0.00005 
    0.00140     1.00005     0.00005 
    0.00160     1.00008    -0.00015 
    0.00180     1.00005     0.00010 
    0.00200     1.00011     0.00020 
    0.00220     1.00015     0.00020 
    0.00240     1.00003     0.00025 
    0.00260     1.00013     0.00010 
    0.00280     1.00015     0.00005 
    0.00300     1.00013     0.00020 
    0.00320     1.00013     0.00010 
    0.00340     1.00008     0.00020 
    0.00360     1.00003     0.00015 
    0.00380     1.00013     0.00030 
    0.00400     1.00013     0.00020 
    0.00420     1.00003     0.00010 
    0.00440     1.00013     0.00005 
    0.00460     1.00003     0.00010 
    0.00480     1.00015     0.00000 
    0.00500     1.00013     0.00010 
    0.00520     1.00005     0.00020 
    0.00540     1.00008     0.00010 
    0.00560     1.00011     0.00020 
    0.00580     1.00013     0.00010 
    0.00600     1.00005     0.00005 
    0.00620     1.00005     0.00015 
    0.00640     1.00018     0.00025 
    0.00660     1.00000     0.00025 
    0.00680     1.00008     0.00015 
    0.00700     1.00013     0.00015 
    0.00720     1.00008     0.00000 
    0.00740     1.00011    -0.00005 
    0.00760     1.00003     0.00010 
    0.00780     1.00008     0.00015 
    0.00800     1.00008     0.00000 
    0.00820     1.00008     0.00005 
    0.00840     1.00011     0.00025 
    0.00860     1.00008    -0.00010 
    0.00880     1.00003     0.00035 
    0.00900     1.00013    -0.00035 
    0.00920     1.00013     0.00025 
    0.00940     1.00008     0.00020 
    0.00960     1.00013     0.00030 
    0.00980     1.00011     0.00015 
    0.01000     1.00005     0.00000 
    0.01020     1.00011     0.00020 
    0.01040     1.00005     0.00000 
    0.01060     1.00011     0.00020 
    0.01080     1.00011     0.00020 
    0.01100     1.00005     0.00005 
    0.01120     1.00013     0.00005 
    0.01140     1.00015     0.00000 
    0.01160     1.00008     0.00005 
    0.01180     1.00005     0.00005 
    0.01200     1.00008     0.00005 
    0.01220     1.00013     0.00020 
    0.01240     1.00008     0.00005 
    0.01260     1.00013     0.00015 
    0.01280     1.00011     0.00010 
    0.01300     1.00008     0.00005 
    0.01320     1.00013     0.00000 
    0.01340     1.00015     0.00005 
    0.01360     1.00000     0.00010 
    0.01380     1.00013     0.00010 
    0.01400     1.00005     0.00035 
    0.01420     1.00011     0.00025 
    0.01440     1.00005     0.00005 
    0.01460     1.00008     0.00020 
    0.01480     1.00011     0.00015 
    0.01500     1.00011     0.00020 
    0.01520     1.00008     0.00025 
    0.01540     1.00011     0.00020 
    0.01560     1.00015     0.00025 
    0.01580     1.00005     0.00015 
    0.01600     1.00011     0.00010 
    0.01620     1.00013     0.00015 
    0.01640     1.00008     0.00010 
    0.01660     1.00011     0.00015 
    0.01680     1.00015     0.00010 
    0.01700     1.00005     0.00005 
    0.01720     1.00018     0.00010 
    0.01740     1.00008     0.00015 
    0.01760     1.00011    -0.00010 
    0.01780     1.00011     0.00015 
    0.01800     1.00013     0.00020 
    0.01820     1.00011     0.00020 
    0.01840     1.00005     0.00025 
    0.01860     1.00011     0.00010 
    0.01880     1.00008     0.00015 
    0.01900     1.00013    -0.00015 
    0.01920     1.00015     0.00005 
    0.01940     1.00013     0.00015 
    0.01960     1.00013     0.00005 
    0.01980     1.00008     0.00025 
    0.02000     1.00011     0.00025 
    0.02020     1.00015     0.00005 
    0.02040     1.00013     0.00015 
    0.02060     1.00011     0.00015 
    0.02080     1.00013     0.00020 
    0.02100     1.00011     0.00010 
    0.02120     1.00013     0.00025 
    0.02140     1.00008     0.00015 
    0.02160     1.00008     0.00015 
    0.02180     1.00013     0.00010 
    0.02200     1.00008    -0.00010 
    0.02220     1.00015     0.00020 
    0.02240     1.00011     0.00025 
    0.02260     1.00003     0.00030 
    0.02280     1.00013     0.00020 
    0.02300     1.00008     0.00020 
    0.02320     1.00005     0.00005 
    0.02340     1.00005     0.00015 
    0.02360     1.00011     0.00020 
    0.02380     1.00008    -0.00030 
    0.02400     1.00003     0.00020 
    0.02420     1.00021     0.00015 
    0.02440     1.00000     0.00020 
    0.02460     1.00011     0.00005 
    0.02480     1.00011     0.00000 
    0.02500     1.00005     0.00000 
    0.02520     1.00008     0.00025 
    0.02540     1.00005     0.00015 
    0.02560     1.00008     0.00025 
    0.02580     1.00008     0.00005 
    0.02600     1.00011    -0.00005 
    0.02620     1.00018     0.00000 
    0.02640     1.00005     0.00005 
    0.02660     1.00011     0.00010 
    0.02680     1.00011     0.00020 
    0.02700     1.00003     0.00015 
    0.02720     1.00008     0.00015 
    0.02740     1.00008     0.00000 
    0.02760     1.00008     0.00005 
    0.02780     1.00008    -0.00005 
    0.02800     1.00011     0.00010 
    0.02820     1.00013     0.00015 
    0.02840     1.00003     0.00015 
    0.02860     1.00015     0.00030 
    0.02880     1.00008     0.00020 
    0.02900     1.00011     0.00000 
    0.02920     1.00015    -0.00005 
    0.02940     0.99997     0.00010 
    0.02960     1.00015     0.00025 
    0.02980     1.00008     0.00015 
    0.03000     1.00005     0.00005 
    0.03020     1.00013     0.00015 
    0.03040     1.00008     0.00020 
    0.03060     1.00015     0.00015 
    0.03080     1.00011     0.00025 
    0.03100     1.00000     0.00005 
    0.03120     1.00005     0.00000 
    0.03140     1.00015     0.00040 
    0.03160     1.00003     0.00005 
    0.03180     1.00011     0.00015 
    0.03200     1.00015     0.00005 
    0.03220     1.00005     0.00025 
    0.03240     1.00011     0.00025 
    0.03260     1.00011     0.00030 
    0.03280     1.00000     0.00010 
    0.03300     1.00015     0.00005 
    0.03320     1.00011     0.00010 
    0.03340     1.00005     0.00005 
    0.03360     1.00008    -0.00010 
    0.03380     1.00008     0.00015 
    0.03400     1.00008     0.00025 
    0.03420     1.00013     0.00020 
    0.03440     1.00005     0.00020 
    0.03460     1.00015     0.00015 
    0.03480     1.00011     0.00005 
    0.03500     1.00008    -0.00010 
    0.03520     1.00013     0.00010 
    0.03540     1.00003     0.00020 
    0.03560     1.00013     0.00010 
    0.03580     1.00008     0.00020 
    0.03600     1.00005     0.00020 
    0.03620     1.00018     0.00005 
    0.03640     1.00013     0.00005 
    0.03660     1.00008     0.00005 
    0.03680     1.00013     0.00005 
    0.03700     1.00011     0.00010 
    0.03720     1.00003     0.00025 
    0.03740     1.00013     0.00035 
    0.03760     1.00021     0.00010 
    0.03780     1.00003     0.00015 
    0.03800     1.00013     0.00005 
    0.03820     1.00005     0.00020 
    0.03840     1.00018     0.00025 
    0.03860     1.00011     0.00030 
    0.03880     1.00015     0.00030 
    0.03900     1.00015     0.00015 
    0.03920     1.00005     0.00000 
    0.03940     1.00024     0.00010 
    0.03960     1.00003     0.00025 
    0.03980     0.99997     0.00020 
    0.04000     1.00021     0.00010 
    0.04020     1.00005     0.00020 
    0.04040     1.00000     0.00015 
    0.04060     1.00011     0.00015 
