ASI600A Export Data File
Created: Wed Sep  9 12:58:33 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.30100     1.00009     0.00494 
   66.30200     1.00012     0.00544 
   66.30300     1.00009     0.00470 
   66.30400     1.00013     0.00391 
   66.30500     1.00009     0.00380 
   66.30600     1.00010     0.00394 
   66.30700     1.00010     0.00409 
   66.30800     1.00008     0.00375 
   66.30900     1.00008     0.00372 
   66.31000     1.00007     0.00435 
   66.31100     1.00010     0.00502 
   66.31200     1.00011     0.00502 
   66.31300     1.00009     0.00428 
   66.31400     1.00011     0.00357 
   66.31500     1.00008     0.00360 
   66.31600     1.00010     0.00444 
   66.31700     1.00009     0.00485 
   66.31800     1.00011     0.00498 
   66.31900     1.00010     0.00471 
   66.32000     1.00010     0.00479 
   66.32100     1.00009     0.00514 
   66.32200     1.00012     0.00526 
   66.32300     1.00011     0.00493 
   66.32400     1.00011     0.00468 
   66.32500     1.00009     0.00493 
   66.32600     1.00009     0.00549 
   66.32700     1.00010     0.00578 
   66.32800     1.00012     0.00549 
   66.32900     1.00010     0.00518 
   66.33000     1.00010     0.00535 
   66.33100     1.00008     0.00575 
   66.33200     1.00010     0.00616 
   66.33300     1.00010     0.00602 
   66.33400     1.00010     0.00593 
   66.33500     1.00012     0.00589 
   66.33600     1.00010     0.00617 
   66.33700     1.00010     0.00646 
   66.33800     1.00010     0.00650 
   66.33900     1.00010     0.00646 
   66.34000     1.00007     0.00671 
   66.34100     1.00009     0.00691 
   66.34200     1.00009     0.00705 
   66.34300     1.00011     0.00696 
   66.34400     1.00008     0.00662 
   66.34500     1.00010     0.00667 
   66.34600     1.00010     0.00706 
   66.34700     1.00010     0.00739 
   66.34800     1.00010     0.00753 
   66.34900     1.00009     0.00740 
   66.35000     1.00009     0.00733 
   66.35100     1.00009     0.00739 
   66.35200     1.00008     0.00746 
   66.35300     1.00010     0.00744 
   66.35400     1.00010     0.00751 
   66.35500     1.00009     0.00784 
   66.35600     1.00008     0.00811 
   66.35700     1.00008     0.00835 
   66.35800     1.00010     0.00823 
   66.35900     1.00011     0.00800 
   66.36000     1.00009     0.00794 
   66.36100     1.00010     0.00816 
   66.36200     1.00009     0.00838 
   66.36300     1.00008     0.00852 
   66.36400     1.00007     0.00859 
   66.36500     1.00010     0.00858 
   66.36600     1.00008     0.00867 
   66.36700     1.00011     0.00851 
   66.36800     1.00009     0.00857 
   66.36900     1.00009     0.00849 
   66.37000     1.00009     0.00862 
   66.37100     1.00012     0.00884 
   66.37200     1.00011     0.00891 
   66.37300     1.00008     0.00883 
   66.37400     1.00009     0.00881 
   66.37500     1.00009     0.00882 
   66.37600     1.00009     0.00880 
   66.37700     1.00009     0.00895 
   66.37800     1.00010     0.00897 
   66.37900     1.00011     0.00906 
   66.38000     1.00008     0.00916 
   66.38100     1.00009     0.00920 
   66.38200     1.00009     0.00927 
   66.38300     1.00013     0.00919 
   66.38400     1.00009     0.00921 
   66.38500     1.00010     0.00935 
   66.38600     1.00011     0.00956 
   66.38700     1.00011     0.00962 
   66.38800     1.00011     0.00951 
   66.38900     1.00012     0.00951 
   66.39000     1.00010     0.00951 
   66.39100     1.00011     0.00969 
   66.39200     1.00008     0.00966 
   66.39300     1.00010     0.00978 
   66.39400     1.00013     0.00981 
   66.39500     1.00009     0.00995 
   66.39600     1.00010     0.01009 
   66.39700     1.00010     0.00997 
   66.39800     1.00007     0.00990 
   66.39900     1.00008     0.00988 
   66.40000     1.00008     0.01003 
   66.40100     1.00008     0.01025 
   66.40200     1.00010     0.01028 
   66.40300     1.00013     0.01035 
   66.40400     1.00009     0.01031 
   66.40500     1.00009     0.01053 
   66.40600     1.00009     0.01040 
   66.40700     1.00011     0.01049 
   66.40800     1.00007     0.01048 
   66.40900     1.00010     0.01062 
   66.41000     1.00011     0.01073 
   66.41100     1.00011     0.01088 
   66.41200     1.00008     0.01090 
   66.41300     1.00009     0.01086 
   66.41400     1.00007     0.01083 
   66.41500     1.00011     0.01102 
   66.41600     1.00009     0.01120 
   66.41700     1.00009     0.01135 
   66.41800     1.00010     0.01138 
   66.41900     1.00010     0.01152 
   66.42000     1.00009     0.01153 
   66.42100     1.00010     0.01167 
   66.42200     1.00009     0.01178 
   66.42300     1.00009     0.01174 
   66.42400     1.00010     0.01192 
   66.42500     1.00008     0.01204 
   66.42600     1.00009     0.01223 
   66.42700     1.00009     0.01223 
   66.42800     1.00011     0.01222 
   66.42900     1.00009     0.01231 
   66.43000     1.00010     0.01239 
   66.43100     1.00008     0.01257 
   66.43200     1.00009     0.01267 
   66.43300     1.00010     0.01280 
   66.43400     1.00011     0.01276 
   66.43500     1.00009     0.01284 
   66.43600     1.00008     0.01288 
   66.43700     1.00007     0.01302 
   66.43800     1.00009     0.01317 
   66.43900     1.00009     0.01315 
   66.44000     1.00010     0.01337 
   66.44100     1.00009     0.01347 
   66.44200     1.00008     0.01357 
   66.44300     1.00010     0.01365 
   66.44400     1.00010     0.01370 
   66.44500     1.00007     0.01370 
   66.44600     1.00013     0.01380 
   66.44700     1.00009     0.01401 
   66.44800     1.00007     0.01395 
   66.44900     1.00007     0.01406 
   66.45000     1.00009     0.01416 
   66.45100     1.00013     0.01421 
   66.45200     1.00011     0.01439 
   66.45300     1.00010     0.01440 
   66.45400     1.00008     0.01449 
   66.45500     1.00014     0.01457 
   66.45600     1.00010     0.01468 
   66.45700     1.00007     0.01472 
   66.45800     1.00009     0.01480 
   66.45900     1.00010     0.01491 
   66.46000     1.00009     0.01490 
   66.46100     1.00009     0.01501 
   66.46200     1.00010     0.01509 
   66.46300     1.00009     0.01518 
   66.46400     1.00009     0.01525 
   66.46500     1.00009     0.01531 
   66.46600     1.00006     0.01531 
   66.46700     1.00009     0.01542 
   66.46800     1.00009     0.01549 
   66.46900     1.00009     0.01561 
   66.47000     1.00012     0.01570 
   66.47100     1.00009     0.01566 
   66.47200     1.00010     0.01582 
   66.47300     1.00008     0.01585 
   66.47400     1.00010     0.01608 
   66.47500     1.00010     0.01602 
   66.47600     1.00011     0.01607 
   66.47700     1.00009     0.01623 
   66.47800     1.00010     0.01621 
   66.47900     1.00011     0.01630 
   66.48000     1.00007     0.01634 
   66.48100     1.00010     0.01640 
   66.48200     1.00009     0.01640 
   66.48300     1.00006     0.01658 
   66.48400     1.00009     0.01670 
   66.48500     1.00010     0.01674 
   66.48600     1.00013     0.01683 
   66.48700     1.00009     0.01693 
   66.48800     1.00012     0.01703 
   66.48900     1.00012     0.01705 
   66.49000     1.00010     0.01717 
   66.49100     1.00009     0.01723 
   66.49200     1.00007     0.01733 
   66.49300     1.00008     0.01734 
   66.49400     1.00012     0.01749 
   66.49500     1.00010     0.01765 
   66.49600     1.00005     0.01768 
   66.49700     1.00013     0.01772 
   66.49800     1.00010     0.01779 
   66.49900     1.00011     0.01786 
   66.50000     1.00010     0.01800 
   66.50100     1.00007     0.01806 
   66.50200     1.00010     0.01818 
   66.50300     1.00011     0.01810 
   66.50400     1.00010     0.01838 
   66.50500     1.00013     0.01848 
