ASI600A Export Data File
Created: Wed Sep  9 13:02:08 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.30020     1.00015     0.00812 
   66.30040     1.00008     0.00852 
   66.30060     1.00011     0.00912 
   66.30080     1.00018     0.00946 
   66.30100     1.00008     0.00991 
   66.30120     1.00011     0.00996 
   66.30140     1.00011     0.01040 
   66.30160     1.00005     0.01055 
   66.30180     1.00008     0.01065 
   66.30200     1.00013     0.01080 
   66.30220     1.00013     0.01065 
   66.30240     1.00005     0.01065 
   66.30260     1.00018     0.01035 
   66.30280     1.00011     0.01016 
   66.30300     1.00011     0.00996 
   66.30320     1.00011     0.00971 
   66.30340     1.00005     0.00951 
   66.30360     1.00013     0.00951 
   66.30380     1.00003     0.00956 
   66.30400     1.00005     0.00951 
   66.30420     1.00013     0.00946 
   66.30440     1.00011     0.00951 
   66.30460     1.00011     0.00961 
   66.30480     1.00015     0.00966 
   66.30500     1.00005     0.01001 
   66.30520     1.00015     0.01006 
   66.30540     1.00021     0.01011 
   66.30560     1.00000     0.01060 
   66.30580     1.00008     0.01085 
   66.30600     1.00013     0.01075 
   66.30620     1.00008     0.01085 
   66.30640     1.00015     0.01065 
   66.30660     1.00003     0.01050 
   66.30680     1.00003     0.01035 
   66.30700     1.00011     0.01025 
   66.30720     1.00008     0.00996 
   66.30740     1.00018     0.01001 
   66.30760     1.00008     0.00971 
   66.30780     1.00015     0.00951 
   66.30800     1.00013     0.00931 
   66.30820     1.00008     0.00931 
   66.30840     1.00011     0.00902 
   66.30860     1.00013     0.00917 
   66.30880     1.00011     0.00887 
   66.30900     1.00011     0.00912 
   66.30920     1.00003     0.00931 
   66.30940     1.00005     0.00941 
   66.30960     1.00008     0.00981 
   66.30980     1.00008     0.00991 
   66.31000     1.00015     0.01021 
   66.31020     1.00013     0.01035 
   66.31040     1.00005     0.01060 
   66.31060     1.00013     0.01085 
   66.31080     1.00011     0.01090 
   66.31100     1.00005     0.01105 
   66.31120     1.00015     0.01110 
   66.31140     1.00008     0.01115 
   66.31160     1.00005     0.01120 
   66.31180     1.00011     0.01120 
   66.31200     1.00008     0.01095 
   66.31220     1.00018     0.01070 
   66.31240     1.00011     0.01040 
   66.31260     1.00013     0.01021 
   66.31280     1.00013     0.00991 
   66.31300     1.00008     0.00971 
   66.31320     1.00011     0.00936 
   66.31340     1.00005     0.00912 
   66.31360     1.00013     0.00917 
   66.31380     1.00000     0.00902 
   66.31400     1.00003     0.00907 
   66.31420     1.00015     0.00907 
   66.31440     1.00011     0.00907 
   66.31460     1.00008     0.00907 
   66.31480     1.00015     0.00926 
   66.31500     1.00008     0.00941 
   66.31520     1.00011     0.00976 
   66.31540     1.00003     0.01001 
   66.31560     1.00005     0.01025 
   66.31580     1.00013     0.01045 
   66.31600     1.00003     0.01030 
   66.31620     1.00013     0.01055 
   66.31640     1.00011     0.01050 
   66.31660     1.00005     0.01035 
   66.31680     1.00013     0.01045 
   66.31700     1.00015     0.01011 
   66.31720     1.00008     0.01011 
   66.31740     1.00008     0.00991 
   66.31760     1.00018     0.00976 
   66.31780     1.00008     0.00956 
   66.31800     1.00008     0.00941 
   66.31820     1.00008     0.00917 
   66.31840     1.00018     0.00892 
   66.31860     1.00015     0.00892 
   66.31880     1.00003     0.00892 
   66.31900     1.00018     0.00887 
   66.31920     1.00008     0.00892 
   66.31940     1.00000     0.00926 
   66.31960     1.00013     0.00931 
   66.31980     1.00013     0.00936 
   66.32000     1.00000     0.00981 
   66.32020     1.00013     0.00981 
   66.32040     1.00013     0.00996 
   66.32060     1.00003     0.01006 
   66.32080     1.00008     0.01040 
   66.32100     1.00018     0.01055 
   66.32120     1.00013     0.01065 
   66.32140     1.00008     0.01085 
   66.32160     1.00008     0.01085 
   66.32180     1.00005     0.01085 
   66.32200     1.00013     0.01070 
   66.32220     1.00008     0.01075 
   66.32240     1.00013     0.01060 
   66.32260     1.00013     0.01040 
   66.32280     1.00005     0.01025 
   66.32300     1.00011     0.01030 
   66.32320     1.00018     0.01021 
   66.32340     1.00000     0.01011 
   66.32360     1.00008     0.01021 
   66.32380     1.00008     0.01021 
   66.32400     1.00008     0.00996 
   66.32420     1.00015     0.01001 
   66.32440     1.00008     0.01011 
   66.32460     1.00005     0.01021 
   66.32480     1.00018     0.01040 
   66.32500     1.00005     0.01050 
   66.32520     1.00003     0.01080 
   66.32540     1.00018     0.01090 
   66.32560     1.00005     0.01105 
   66.32580     1.00005     0.01115 
   66.32600     1.00011     0.01105 
   66.32620     1.00005     0.01125 
   66.32640     1.00003     0.01120 
   66.32660     1.00005     0.01100 
   66.32680     1.00018     0.01100 
   66.32700     1.00013     0.01090 
   66.32720     1.00011     0.01085 
   66.32740     1.00018     0.01080 
   66.32760     1.00005     0.01065 
   66.32780     1.00008     0.01021 
   66.32800     1.00015     0.01011 
   66.32820     1.00008     0.00991 
   66.32840     1.00013     0.00961 
   66.32860     1.00005     0.00981 
   66.32880     1.00013     0.00976 
   66.32900     1.00011     0.00966 
   66.32920     1.00011     0.00986 
   66.32940     1.00018     0.00996 
   66.32960     1.00011     0.01016 
   66.32980     1.00005     0.01040 
   66.33000     1.00008     0.01070 
   66.33020     1.00013     0.01075 
   66.33040     1.00021     0.01105 
   66.33060     1.00000     0.01115 
   66.33080     1.00011     0.01149 
   66.33100     1.00011     0.01159 
   66.33120     1.00008     0.01194 
   66.33140     1.00018     0.01174 
   66.33160     1.00008     0.01184 
   66.33180     1.00003     0.01194 
   66.33200     1.00018     0.01169 
   66.33220     1.00003     0.01164 
   66.33240     1.00000     0.01144 
   66.33260     1.00024     0.01130 
   66.33280     1.00003     0.01125 
   66.33300     1.00005     0.01090 
   66.33320     1.00008     0.01095 
   66.33340     1.00011     0.01080 
   66.33360     1.00003     0.01075 
   66.33380     1.00011     0.01055 
   66.33400     1.00018     0.01055 
   66.33420     1.00005     0.01025 
   66.33440     1.00013     0.01030 
   66.33460     1.00005     0.01060 
   66.33480     1.00000     0.01050 
   66.33500     1.00018     0.01070 
   66.33520     1.00011     0.01095 
   66.33540     1.00005     0.01080 
   66.33560     1.00005     0.01100 
   66.33580     1.00008     0.01085 
   66.33600     1.00013     0.01075 
   66.33620     1.00008     0.01085 
   66.33640     1.00013     0.01095 
   66.33660     1.00008     0.01095 
   66.33680     1.00011     0.01100 
   66.33700     1.00008     0.01085 
   66.33720     1.00005     0.01090 
   66.33740     1.00011     0.01085 
   66.33760     1.00013     0.01075 
   66.33780     1.00005     0.01065 
   66.33800     1.00011     0.01050 
   66.33820     1.00008     0.01055 
   66.33840     1.00011     0.01040 
   66.33860     1.00018     0.01040 
   66.33880     1.00011     0.01040 
   66.33900     1.00005     0.01070 
   66.33920     1.00008     0.01085 
   66.33940     1.00013     0.01085 
   66.33960     1.00011     0.01075 
   66.33980     1.00003     0.01110 
   66.34000     1.00024     0.01125 
   66.34020     1.00003     0.01139 
   66.34040     1.00011     0.01154 
   66.34060     1.00008     0.01174 
   66.34080     1.00008     0.01184 
   66.34100     1.00013     0.01209 
