x,c00
99.90044,2.03535
99.99763,2.03601
100.09571,2.10606
100.16974,2.15843
100.23264,2.20491
100.28992,2.2527
100.33794,2.29329
100.38232,2.32799
100.41925,2.36007
100.44696,2.38363
100.49596,2.35483
100.57142,2.30507
100.63186,2.26056
100.67718,2.22782
100.7131,2.19902
100.73367,2.19836
100.73948,2.18396
100.75088,2.17087
100.76962,2.16694
100.7847,2.15777
100.79425,2.14337
100.81293,2.14468
100.83182,2.13028
100.83959,2.10933
100.8473,2.09231
100.87739,2.07921
100.89982,2.07921
100.92424,2.0707
100.9635,2.07005
101.01425,2.05041
101.08907,2.04648
