x,ssc30
1.999419,0.87122
2.015032,1.24098
2.025094,1.41215
2.028216,1.44612
2.032378,1.45789
2.037234,1.44417
2.040702,1.4187
2.04625,1.36122
2.052146,1.31027
2.059776,1.25802
2.070528,1.21492
2.081973,1.18358
2.101396,1.14833
2.119779,1.13006
2.139549,1.11572
2.160706,1.1079
2.182904,1.1014
2.204756,1.10012
2.229035,1.10015
2.25106,1.10541
2.272044,1.11197
2.293896,1.1218
2.316094,1.13489
2.334477,1.14994
2.355288,1.16956
2.370897,1.18657
2.386505,1.20357
2.398818,1.22123
2.392051,1.00238
2.388581,0.89393
2.382162,0.73322
2.374356,0.59211
2.367071,0.49541
2.361174,0.43008
2.351981,0.34514
2.342095,0.28569
2.32718,0.22034
2.31053,0.17459
2.293708,0.14191
2.281915,0.1236
2.268041,0.1066
2.254167,0.09351
2.232315,0.0765
2.204394,0.06144
2.186878,0.05292
2.15202,0.04243
2.118202,0.03454
2.068949,0.02533
2.017789,0.02004
2.0001,0.01936

x,ssc60
1.999592,0.87187
2.015726,1.24555
2.023012,1.35858
2.02544,1.38602
2.029776,1.39778
2.034285,1.38211
2.037232,1.36121
2.039833,1.33574
2.046423,1.2776
2.053879,1.22013
2.066885,1.16723
2.080758,1.13197
2.105037,1.09934
2.13001,1.08043
2.159665,1.06871
2.188453,1.06352
2.22019,1.06356
2.243255,1.06751
2.265627,1.07407
2.29667,1.08848
2.319735,1.10092
2.342974,1.11859
2.361878,1.13364
2.375752,1.14934
2.388412,1.16242
2.399164,1.17485
2.395521,1.04876
2.392918,0.95861
2.389448,0.8384
2.385804,0.74564
2.382335,0.67639
2.377651,0.59211
2.371407,0.50914
2.365163,0.44184
2.359265,0.38696
2.347645,0.30398
2.336198,0.25105
2.327006,0.21969
2.304981,0.16805
2.289893,0.14321
2.270816,0.12032
2.255901,0.10593
2.236824,0.09284
2.20266,0.07319
2.17734,0.06402
2.145256,0.05418
2.113173,0.0463
2.079008,0.03972
2.054729,0.03707
2.025594,0.03246
1.999754,0.02982

x,ssc85
1.999939,0.87122
2.016073,1.24164
2.019716,1.28606
2.021103,1.30174
2.023878,1.31154
2.025786,1.31481
2.02804,1.30959
2.029948,1.29979
2.033763,1.27105
2.038444,1.22795
2.042953,1.19398
2.047462,1.16328
2.053531,1.13782
2.061161,1.10974
2.07226,1.08558
2.086134,1.06469
2.09914,1.05295
2.115962,1.0386
2.131917,1.03013
2.148219,1.02558
2.165041,1.02364
2.184637,1.02301
2.206142,1.02435
2.224872,1.02698
2.241867,1.02962
2.257475,1.03617
2.275165,1.04338
2.294588,1.05124
2.314012,1.06042
2.332048,1.0735
2.354593,1.0879
2.370028,1.10164
2.383208,1.11146
2.399684,1.12912
2.398122,1.06902
2.395172,0.95077
2.391355,0.82534
2.386671,0.71167
2.383028,0.64438
2.378171,0.57317
2.373662,0.52025
2.36152,0.40787
2.354236,0.35821
2.342962,0.30136
2.334464,0.26804
2.321284,0.23209
2.304461,0.19875
2.281915,0.16933
2.261104,0.15036
2.236825,0.13399
2.210638,0.11959
2.185665,0.11041
2.160865,0.10188
2.13277,0.09466
2.106063,0.08809
2.076581,0.08218
2.051088,0.07822
2.026115,0.07427
1.999234,0.07032

x,sho85
2.399335,1.00108
2.396213,0.93248
2.392396,0.83384
2.388926,0.73976
2.385283,0.64177
2.379558,0.51568
2.375048,0.4203
2.369323,0.32949
2.364987,0.26677
2.358222,0.20797
2.350071,0.15243
2.341919,0.11714
2.330993,0.08969
2.319374,0.07204
2.303245,0.05569
2.28226,0.04325
2.252431,0.0308
2.219134,0.02226
2.184796,0.01699
2.151499,0.01368
2.117508,0.01037
2.058197,0.00899
1.999927,0.00695

x,p1
1.999246,0.87056
2.017115,1.31937

x,p2
2.005666,1.13122
2.029777,1.46572
