x,c00
0.856962,0.90697
0.862499,1.02068
0.866929,1.11852
0.870251,1.21106
0.873573,1.28246
0.876895,1.34593
0.883539,1.37242
0.889076,1.34604
0.893505,1.30379
0.899042,1.25362
0.906793,1.1929
0.916206,1.13748
0.927279,1.09529
0.940014,1.06898
0.95607,1.05063
0.97711,1.05082
0.994828,1.06685
1.015314,1.10404
1.041337,1.17565
1.062376,1.25514
1.087292,1.37168
1.123834,1.57554
1.167575,1.8297
1.211315,2.05742
1.244536,2.22425
1.271666,2.34609
1.303779,2.48648

x,c01
0.851774,0.94559
0.856492,1.0312
0.860019,1.09731
0.862643,1.1406
0.865411,1.16833
0.870251,1.18199
0.875234,1.17772
0.880217,1.15829
0.884995,1.13259
0.892398,1.1118
0.903122,1.12248
0.916759,1.16392
0.931155,1.20732
0.952195,1.26469
0.971573,1.31245
0.990398,1.36313
1.014206,1.41593
1.034692,1.46634
1.052964,1.51673
1.076218,1.58567
1.097258,1.6493
1.119959,1.72352
1.139337,1.79243
1.157055,1.8481
1.180863,1.91969
1.201903,1.98332
1.227925,2.05757
1.253948,2.12918
1.278864,2.19814
1.302118,2.26443

x,c02
0.8521,0.94093
0.85489,1.00423
0.858029,1.0359
0.865703,1.06261
0.875818,1.09268
0.890467,1.1411
0.904768,1.18619
0.925695,1.243
0.951157,1.30651
0.978363,1.36838
1.000686,1.41354
1.02266,1.46037
1.041146,1.49384
1.067306,1.54238
1.094163,1.58592
1.119625,1.62612
1.164968,1.69148
1.20787,1.74849
1.239959,1.79375
1.270304,1.83233
1.302393,1.87592

x,c03
0.848961,0.00012
0.905814,0.00564
0.95604,0.01111
1.022311,0.03171
1.086838,0.05229
1.144738,0.0828
1.198452,0.11827
1.2424,0.16197
1.295068,0.21741

x,c04
0.849658,0.00012
0.916975,0.00741
0.980456,0.01133
1.015684,0.01832
1.062423,0.03041
1.114393,0.04588
1.159736,0.06129
1.204382,0.08336
1.239959,0.10367
1.271699,0.12894
1.302044,0.1592

x,c05
0.849309,-0.00154
0.887328,0.00214
0.948716,0.00771
0.999988,0.00985
1.044634,0.02359
1.092768,0.03403
1.139157,0.04612
1.186593,0.06487
1.23368,0.08529
1.269606,0.10561
1.302393,0.13089
