x,mean
1.30003,5.235
1.37611,17.681
1.44555,29.541
1.52834,41.4
1.62447,53.404
1.72064,64.529
1.82024,74.043
1.9332,83.115
2.0463,89.698
2.17281,94.96
2.27612,97.441
2.38285,98.163
2.51972,96.979
2.60325,94.773
2.66343,92.57
2.72364,89.781
2.77716,87.139
2.82405,83.912
2.87428,80.391
2.93123,76.137
2.97146,72.471
3.03849,67.044

x,meanPlusSD
1.29297,12.561
1.39236,25.883
1.46516,37.304
1.52812,45.502
1.59103,54.726
1.67065,63.509
1.75031,71.412
1.82667,78.584
1.92638,85.9
2.00615,91.752
2.11599,96.87
2.23259,100.375
2.31927,101.685
2.396,101.971
2.46944,101.232
2.56628,99.758
2.62645,97.701
2.6933,95.497
2.7502,92.269
2.80375,89.188
2.85062,86.107
2.9042,82.439
2.94771,79.944
2.98787,77.743
3.04803,75.833

x,meanMinusSD
1.30025,1.133
1.34323,8.454
1.38294,14.75
1.42927,21.924
1.48888,30.562
1.48554,30.563
1.5518,39.493
1.61808,47.984
1.69767,57.206
1.77064,65.55
1.86362,73.892
1.9467,80.331
2.04981,86.328
2.15968,90.859
2.26632,93.486
2.38637,94.793
2.48318,93.905
2.57338,91.699
2.67035,87.881
2.7406,84.505
2.82427,79.663
2.87787,75.702
2.92814,71.449
2.96508,67.051
3.0054,61.773
3.04233,57.374

x,ModelGM
1.29358,0.987
1.40217,29.691
1.58957,82.268
2.2427,98.323
2.4162,98.453
3.04587,53.711

x,ModelEDL
1.29021,1.573
1.58289,82.416
2.12594,98.041
2.28275,98.173
3.01956,46.389
